tentativa,activation,init,lr_reg,lr,opt,reg,units1,loss,time
45,relu, random_normal, 1e-05, 0.01, RMSprop, l2, 64, 33.7298, datetime.datetime(2018, 10, 9, 22, 13, 3, 646000)
46,relu, random_normal, 0.01, 0.01, SGD, l2, 512, 36.4217, datetime.datetime(2018, 10, 9, 22, 14, 31, 821000)
47,relu, random_normal, 1e-05, 0.0001, Adamgrad, l2, 64, 91.1063, datetime.datetime(2018, 10, 9, 22, 16, 20, 881000)
48,relu, random_normal, 0.0001, 0.01, Adam, l2, 512, 58.7031, datetime.datetime(2018, 10, 9, 22, 18, 7, 20000)
49,linear, random_normal, 1e-05, 0.01, SGD, l2, 64, 38.4596, datetime.datetime(2018, 10, 9, 22, 20, 50, 972000)
50,relu, random_normal, 1e-05, 0.01, RMSprop, l2, 64, 33.1294, datetime.datetime(2018, 10, 9, 22, 23, 16, 42000)
51,relu, random_normal, 0.01, 0.0001, RMSprop, l2, 512, 38.6534, datetime.datetime(2018, 10, 9, 22, 24, 54, 368000)
52,linear, random_normal, 1e-05, 0.01, RMSprop, l2, 64, 34.5863, datetime.datetime(2018, 10, 9, 22, 27, 30, 481000)
53,relu, random_normal, 0.0001, 0.01, SGD, l2, 64, 37.8771, datetime.datetime(2018, 10, 9, 22, 29, 30, 97000)
54,linear, random_uniform, 0.01, 0.001, Adam, l1, 512, 91.1063, datetime.datetime(2018, 10, 9, 22, 31, 48, 379000)
55,relu, random_normal, 1e-05, 0.0001, Adamgrad, l2, 64, 91.1063, datetime.datetime(2018, 10, 9, 22, 32, 58, 483000)
56,relu, random_uniform, 0.001, 0.01, RMSprop, l1, 64, 32.7197, datetime.datetime(2018, 10, 9, 22, 34, 29, 159000)
57,linear, random_normal, 0.0001, 0.001, RMSprop, l1l2, 512, 34.1422, datetime.datetime(2018, 10, 9, 22, 36, 26, 232000)
58,relu, random_normal, 1e-05, 0.01, SGD, l2, 64, 37.8915, datetime.datetime(2018, 10, 9, 22, 38, 23, 185000)
59,relu, random_uniform, 0.01, 0.01, RMSprop, l1, 64, 35.3771, datetime.datetime(2018, 10, 9, 22, 40, 55, 913000)
60,linear, random_normal, 0.01, 0.001, Adamgrad, l2, 64, 91.1063, datetime.datetime(2018, 10, 9, 22, 42, 53, 264000)
61,relu, random_normal, 0.001, 0.0001, RMSprop, l1l2, 512, 38.6435, datetime.datetime(2018, 10, 9, 22, 44, 13, 83000)
62,relu, random_uniform, 1e-05, 0.01, Adam, l2, 64, 91.081, datetime.datetime(2018, 10, 9, 22, 46, 50, 61000)
63,relu, random_normal, 0.001, 0.01, RMSprop, l1, 64, 32.171, datetime.datetime(2018, 10, 9, 22, 48, 8, 404000)
64,linear, random_normal, 0.01, 0.001, RMSprop, l2, 64, 34.6607, datetime.datetime(2018, 10, 9, 22, 50, 7, 291000)
65,relu, random_normal, 0.01, 0.01, RMSprop, l1l2, 64, 31.2112, datetime.datetime(2018, 10, 9, 22, 52, 13, 263000)
66,relu, random_normal, 0.01, 0.01, RMSprop, l1l2, 64, 33.2862, datetime.datetime(2018, 10, 9, 22, 54, 12, 827000)
67,relu, random_normal, 0.01, 0.01, RMSprop, l1l2, 64, 36.1154, datetime.datetime(2018, 10, 9, 22, 56, 12, 135000)
68,relu, random_normal, 0.01, 0.01, RMSprop, l1l2, 64, 34.3188, datetime.datetime(2018, 10, 9, 22, 58, 3, 464000)
69,relu, random_normal, 0.001, 0.01, RMSprop, l1l2, 64, 32.4298, datetime.datetime(2018, 10, 9, 23, 0, 8, 904000)
70,relu, random_normal, 0.01, 0.01, RMSprop, l1l2, 64, 32.2561, datetime.datetime(2018, 10, 9, 23, 2, 10, 682000)
71,relu, random_normal, 0.0001, 0.01, RMSprop, l1l2, 64, 32.3912, datetime.datetime(2018, 10, 9, 23, 4, 20, 41000)
72,relu, random_normal, 0.01, 0.01, RMSprop, l1l2, 64, 32.661, datetime.datetime(2018, 10, 9, 23, 6, 27, 45000)
73,relu, random_normal, 0.001, 0.01, RMSprop, l1l2, 64, 33.4532, datetime.datetime(2018, 10, 9, 23, 8, 23, 828000)
74,relu, random_normal, 0.0001, 0.01, Adamgrad, l1l2, 64, 71.5344, datetime.datetime(2018, 10, 9, 23, 10, 34, 337000)
75,relu, random_normal, 0.01, 0.01, RMSprop, l1l2, 64, 34.4708, datetime.datetime(2018, 10, 9, 23, 13, 45, 466000)
76,relu, random_uniform, 0.0001, 0.01, SGD, l2, 64, 39.348, datetime.datetime(2018, 10, 9, 23, 16, 4, 685000)
77,relu, random_normal, 1e-05, 0.0001, Adam, l2, 64, 91.1063, datetime.datetime(2018, 10, 9, 23, 18, 59, 242000)
78,relu, random_normal, 0.01, 0.01, RMSprop, l1, 512, 33.1328, datetime.datetime(2018, 10, 9, 23, 20, 55, 880000)
79,relu, random_normal, 0.001, 0.001, RMSprop, l1l2, 64, 34.6106, datetime.datetime(2018, 10, 9, 23, 23, 10, 271000)
