tentativa,activation,init,lr_reg,lr,opt,reg,units1,loss,time
45,relu, random_normal, 0.0001, 0.001, Adam, l1l2, 512, 91.1044, datetime.datetime(2018, 10, 9, 20, 5, 36, 760000)
46,linear, random_uniform, 0.0001, 0.01, RMSprop, l1l2, 512, 44.8464, datetime.datetime(2018, 10, 9, 20, 6, 37, 730000)
47,relu, random_normal, 0.0001, 0.001, Adamgrad, l2, 512, 91.1044, datetime.datetime(2018, 10, 9, 20, 8, 4, 695000)
48,linear, random_normal, 0.0001, 0.0001, SGD, l1l2, 512, 91.1044, datetime.datetime(2018, 10, 9, 20, 9, 6, 469000)
49,relu, random_uniform, 0.01, 0.001, Adam, l1l2, 512, 91.1044, datetime.datetime(2018, 10, 9, 20, 10, 9, 916000)
50,linear, random_normal, 0.0001, 0.01, RMSprop, l2, 512, 38.2657, datetime.datetime(2018, 10, 9, 20, 11, 13, 656000)
51,relu, random_normal, 0.001, 0.001, Adamgrad, l1l2, 512, 91.1044, datetime.datetime(2018, 10, 9, 20, 12, 54, 880000)
52,relu, random_uniform, 0.0001, 0.0001, Adam, l1l2, 512, 91.1044, datetime.datetime(2018, 10, 9, 20, 14, 2, 374000)
53,linear, random_normal, 1e-05, 0.001, RMSprop, l2, 512, 37.0574, datetime.datetime(2018, 10, 9, 20, 15, 17, 981000)
54,relu, random_normal, 1e-05, 0.001, SGD, l1l2, 512, 58.1769, datetime.datetime(2018, 10, 9, 20, 16, 47, 730000)
55,relu, random_normal, 0.0001, 0.01, RMSprop, l1l2, 512, 35.2422, datetime.datetime(2018, 10, 9, 20, 19, 46, 425000)
56,linear, random_uniform, 1e-05, 0.001, RMSprop, l2, 512, 36.0597, datetime.datetime(2018, 10, 9, 20, 21, 28, 476000)
57,relu, random_normal, 0.0001, 0.0001, Adamgrad, l1l2, 512, 91.1044, datetime.datetime(2018, 10, 9, 20, 22, 56, 530000)
58,relu, random_normal, 0.001, 0.001, Adam, l1l2, 512, 91.1044, datetime.datetime(2018, 10, 9, 20, 24, 25, 262000)
59,relu, random_normal, 0.001, 0.001, RMSprop, l2, 512, 32.4074, datetime.datetime(2018, 10, 9, 20, 25, 36, 749000)
60,linear, random_uniform, 0.001, 0.001, RMSprop, l2, 512, 36.3918, datetime.datetime(2018, 10, 9, 20, 27, 26, 842000)
61,relu, random_normal, 0.001, 0.01, RMSprop, l2, 512, 36.7328, datetime.datetime(2018, 10, 9, 20, 29, 15, 83000)
62,relu, random_normal, 0.001, 0.001, SGD, l2, 512, 57.9023, datetime.datetime(2018, 10, 9, 20, 30, 52, 621000)
63,relu, random_normal, 0.0001, 0.0001, Adam, l2, 512, 91.1044, datetime.datetime(2018, 10, 9, 20, 34, 11, 286000)
64,linear, random_normal, 0.001, 0.001, RMSprop, l2, 512, 36.4647, datetime.datetime(2018, 10, 9, 20, 35, 38, 401000)
65,relu, random_normal, 0.001, 0.001, RMSprop, l2, 512, 34.0525, datetime.datetime(2018, 10, 9, 20, 37, 31, 104000)
66,relu, random_normal, 1e-05, 0.001, RMSprop, l2, 512, 33.8911, datetime.datetime(2018, 10, 9, 20, 39, 37, 318000)
67,relu, random_normal, 0.0001, 0.001, RMSprop, l2, 512, 33.5828, datetime.datetime(2018, 10, 9, 20, 41, 26, 850000)
68,relu, random_normal, 0.0001, 0.001, RMSprop, l1l2, 512, 34.7205, datetime.datetime(2018, 10, 9, 20, 43, 29, 704000)
69,relu, random_normal, 0.01, 0.001, RMSprop, l2, 512, 34.737, datetime.datetime(2018, 10, 9, 20, 45, 16, 496000)
