tentativa,activation,init,lr_reg,lr,opt,reg,units1,loss,time
44,relu, random_uniform, 0.001, 0.001, Adamgrad, l2, 64, 91.1091, datetime.datetime(2018, 10, 10, 2, 37, 23, 505000)
45,relu, random_uniform, 0.0001, 0.001, SGD, l1, 512, 59.1999, datetime.datetime(2018, 10, 10, 2, 38, 28, 964000)
46,relu, random_uniform, 0.0001, 0.0001, Adamgrad, l1l2, 512, 91.1091, datetime.datetime(2018, 10, 10, 2, 41, 16, 242000)
47,relu, random_uniform, 0.001, 0.01, Adam, l2, 64, 91.1091, datetime.datetime(2018, 10, 10, 2, 42, 31, 460000)
48,relu, random_uniform, 0.0001, 0.001, RMSprop, l1l2, 512, 32.7641, datetime.datetime(2018, 10, 10, 2, 43, 36, 628000)
49,relu, random_uniform, 0.001, 0.0001, SGD, l1, 64, 91.1091, datetime.datetime(2018, 10, 10, 2, 45, 26, 382000)
50,relu, random_uniform, 1e-05, 0.01, RMSprop, l1l2, 512, 35.1516, datetime.datetime(2018, 10, 10, 2, 46, 33, 928000)
51,relu, random_uniform, 0.01, 0.001, Adamgrad, l2, 512, 91.1091, datetime.datetime(2018, 10, 10, 2, 48, 13, 595000)
52,relu, random_uniform, 0.01, 0.0001, RMSprop, l1l2, 64, 58.6447, datetime.datetime(2018, 10, 10, 2, 49, 23, 251000)
53,relu, random_uniform, 0.0001, 0.01, Adam, l1, 512, 59.1997, datetime.datetime(2018, 10, 10, 2, 52, 23, 617000)
54,relu, random_uniform, 1e-05, 0.001, RMSprop, l1l2, 512, 32.0543, datetime.datetime(2018, 10, 10, 2, 55, 12, 567000)
55,relu, random_uniform, 0.0001, 0.001, SGD, l2, 64, 91.1091, datetime.datetime(2018, 10, 10, 2, 57, 10, 465000)
56,relu, random_uniform, 0.001, 0.0001, RMSprop, l1l2, 512, 38.7138, datetime.datetime(2018, 10, 10, 2, 58, 21, 575000)
57,relu, random_uniform, 0.001, 0.01, Adamgrad, l1, 512, 59.1513, datetime.datetime(2018, 10, 10, 3, 1, 4, 710000)
58,relu, random_uniform, 0.0001, 0.001, RMSprop, l1l2, 512, 31.4876, datetime.datetime(2018, 10, 10, 3, 4, 1, 863000)
59,relu, random_uniform, 0.0001, 0.001, Adam, l2, 64, 91.1091, datetime.datetime(2018, 10, 10, 3, 6, 16, 248000)
60,relu, random_uniform, 0.0001, 0.001, RMSprop, l1l2, 512, 32.2317, datetime.datetime(2018, 10, 10, 3, 7, 30, 856000)
61,relu, random_uniform, 0.0001, 0.01, RMSprop, l1, 512, 36.9431, datetime.datetime(2018, 10, 10, 3, 9, 29, 574000)
62,relu, random_uniform, 0.001, 0.0001, SGD, l1l2, 512, 91.1091, datetime.datetime(2018, 10, 10, 3, 11, 20, 483000)
63,linear, random_uniform, 1e-05, 0.001, RMSprop, l1l2, 64, 35.4168, datetime.datetime(2018, 10, 10, 3, 12, 39, 958000)
64,relu, random_uniform, 0.0001, 0.001, Adamgrad, l1l2, 512, 91.1091, datetime.datetime(2018, 10, 10, 3, 15, 0, 317000)
65,relu, random_uniform, 0.0001, 0.001, RMSprop, l1l2, 512, 33.3814, datetime.datetime(2018, 10, 10, 3, 16, 19, 336000)
66,relu, random_uniform, 0.0001, 0.001, RMSprop, l1l2, 512, 34.1252, datetime.datetime(2018, 10, 10, 3, 18, 22, 423000)
67,relu, random_uniform, 0.0001, 0.001, RMSprop, l1l2, 512, 31.3799, datetime.datetime(2018, 10, 10, 3, 20, 17, 844000)
68,relu, random_uniform, 0.0001, 0.001, RMSprop, l1l2, 512, 33.0486, datetime.datetime(2018, 10, 10, 3, 22, 40, 481000)
69,relu, random_uniform, 0.001, 0.001, RMSprop, l1l2, 512, 32.1784, datetime.datetime(2018, 10, 10, 3, 24, 35, 248000)
70,relu, random_uniform, 0.0001, 0.001, RMSprop, l1l2, 512, 31.8833, datetime.datetime(2018, 10, 10, 3, 26, 54, 264000)
71,relu, random_uniform, 0.0001, 0.001, RMSprop, l1l2, 512, 32.0143, datetime.datetime(2018, 10, 10, 3, 29, 12, 338000)
72,relu, random_normal, 0.0001, 0.001, RMSprop, l1l2, 512, 33.3285, datetime.datetime(2018, 10, 10, 3, 31, 29, 361000)
73,relu, random_uniform, 0.01, 0.001, RMSprop, l1l2, 512, 32.938, datetime.datetime(2018, 10, 10, 3, 33, 40, 163000)
74,linear, random_uniform, 0.0001, 0.001, RMSprop, l1l2, 512, 33.4061, datetime.datetime(2018, 10, 10, 3, 35, 45, 681000)
75,relu, random_uniform, 0.001, 0.001, Adam, l1l2, 512, 91.1091, datetime.datetime(2018, 10, 10, 3, 38, 2, 628000)
76,relu, random_normal, 1e-05, 0.001, RMSprop, l2, 512, 31.3425, datetime.datetime(2018, 10, 10, 3, 39, 33, 906000)
77,relu, random_normal, 1e-05, 0.01, RMSprop, l2, 512, 34.1862, datetime.datetime(2018, 10, 10, 3, 42, 6, 368000)
78,linear, random_normal, 1e-05, 0.001, SGD, l2, 512, 59.1645, datetime.datetime(2018, 10, 10, 3, 44, 13, 891000)
79,relu, random_normal, 1e-05, 0.0001, RMSprop, l2, 512, 38.6522, datetime.datetime(2018, 10, 10, 3, 47, 4, 350000)
