tentativa,activation,init,lr_reg,lr,opt,reg,units1,loss,time
44,relu, random_normal, 0.001, 0.001, Adamgrad, l2, 512, 91.1091, datetime.datetime(2018, 10, 10, 4, 52, 49, 974000)
45,linear, random_uniform, 0.001, 0.001, Adam, l1, 512, 91.1091, datetime.datetime(2018, 10, 10, 4, 54, 1, 102000)
46,relu, random_uniform, 1e-05, 0.0001, SGD, l1l2, 64, 91.1091, datetime.datetime(2018, 10, 10, 4, 55, 10, 101000)
47,relu, random_normal, 0.001, 0.01, RMSprop, l1, 512, 34.976, datetime.datetime(2018, 10, 10, 4, 56, 20, 122000)
48,linear, random_uniform, 0.01, 0.001, RMSprop, l2, 512, 32.5903, datetime.datetime(2018, 10, 10, 4, 57, 59, 508000)
49,relu, random_normal, 1e-05, 0.001, Adamgrad, l1, 64, 91.1091, datetime.datetime(2018, 10, 10, 4, 59, 47, 432000)
50,relu, random_uniform, 0.01, 0.0001, SGD, l1l2, 512, 91.1091, datetime.datetime(2018, 10, 10, 5, 1, 0, 284000)
51,relu, random_uniform, 0.0001, 0.01, RMSprop, l1, 512, 38.7082, datetime.datetime(2018, 10, 10, 5, 2, 11, 449000)
52,linear, random_normal, 0.0001, 0.001, Adam, l1l2, 64, 91.1091, datetime.datetime(2018, 10, 10, 5, 4, 4, 109000)
53,relu, random_uniform, 0.001, 0.01, RMSprop, l1, 512, 37.5874, datetime.datetime(2018, 10, 10, 5, 5, 16, 537000)
54,relu, random_uniform, 0.001, 0.001, SGD, l1l2, 512, 58.8202, datetime.datetime(2018, 10, 10, 5, 6, 59, 909000)
55,relu, random_normal, 0.0001, 0.0001, RMSprop, l2, 512, 38.3069, datetime.datetime(2018, 10, 10, 5, 10, 17, 432000)
56,linear, random_uniform, 0.001, 0.001, Adamgrad, l1, 64, 91.1091, datetime.datetime(2018, 10, 10, 5, 13, 27, 429000)
57,relu, random_uniform, 0.001, 0.01, RMSprop, l1l2, 512, 36.4814, datetime.datetime(2018, 10, 10, 5, 14, 41, 791000)
58,relu, random_uniform, 0.001, 0.001, RMSprop, l1, 512, 32.4346, datetime.datetime(2018, 10, 10, 5, 16, 31, 618000)
59,relu, random_normal, 0.01, 0.001, Adam, l1l2, 512, 91.1091, datetime.datetime(2018, 10, 10, 5, 18, 39, 474000)
60,relu, random_uniform, 1e-05, 0.0001, SGD, l2, 64, 91.1091, datetime.datetime(2018, 10, 10, 5, 19, 56, 401000)
61,linear, random_uniform, 0.0001, 0.001, RMSprop, l1, 512, 33.837, datetime.datetime(2018, 10, 10, 5, 21, 14, 559000)
62,relu, random_uniform, 0.0001, 0.01, RMSprop, l1l2, 512, 34.7333, datetime.datetime(2018, 10, 10, 5, 23, 21, 590000)
63,relu, random_normal, 1e-05, 0.001, Adamgrad, l1, 512, 91.1091, datetime.datetime(2018, 10, 10, 5, 25, 40, 892000)
64,relu, random_uniform, 1e-05, 0.001, RMSprop, l1l2, 512, 33.4127, datetime.datetime(2018, 10, 10, 5, 27, 2, 89000)
65,relu, random_uniform, 0.01, 0.001, RMSprop, l1, 512, 33.5391, datetime.datetime(2018, 10, 10, 5, 29, 1, 234000)
66,relu, random_uniform, 0.01, 0.001, RMSprop, l1, 512, 32.3544, datetime.datetime(2018, 10, 10, 5, 31, 25, 221000)
67,relu, random_uniform, 0.01, 0.001, RMSprop, l1, 512, 32.4715, datetime.datetime(2018, 10, 10, 5, 33, 43, 523000)
68,relu, random_uniform, 0.01, 0.001, RMSprop, l1, 512, 34.0464, datetime.datetime(2018, 10, 10, 5, 36, 8, 225000)
69,relu, random_uniform, 0.01, 0.001, RMSprop, l1, 512, 32.9874, datetime.datetime(2018, 10, 10, 5, 38, 22, 239000)
70,relu, random_uniform, 0.0001, 0.001, RMSprop, l1, 512, 32.889, datetime.datetime(2018, 10, 10, 5, 40, 33, 538000)
71,relu, random_uniform, 0.01, 0.001, RMSprop, l1, 512, 33.3355, datetime.datetime(2018, 10, 10, 5, 43, 3, 644000)
72,relu, random_uniform, 0.01, 0.001, RMSprop, l1, 512, 32.9266, datetime.datetime(2018, 10, 10, 5, 45, 37, 854000)
73,relu, random_uniform, 0.0001, 0.001, Adam, l1, 512, 91.1091, datetime.datetime(2018, 10, 10, 5, 48, 6, 580000)
74,relu, random_uniform, 0.0001, 0.001, RMSprop, l2, 512, 31.33, datetime.datetime(2018, 10, 10, 5, 49, 38, 349000)
75,relu, random_uniform, 0.0001, 0.001, RMSprop, l2, 512, 33.4016, datetime.datetime(2018, 10, 10, 5, 52, 17, 530000)
76,relu, random_uniform, 0.0001, 0.0001, SGD, l2, 512, 91.1091, datetime.datetime(2018, 10, 10, 5, 55, 1, 284000)
77,linear, random_uniform, 0.0001, 0.01, RMSprop, l2, 64, 35.1721, datetime.datetime(2018, 10, 10, 5, 56, 36, 18000)
78,relu, random_uniform, 0.0001, 0.001, Adamgrad, l2, 512, 91.1091, datetime.datetime(2018, 10, 10, 5, 58, 50, 582000)
79,relu, random_uniform, 0.0001, 0.001, RMSprop, l2, 512, 32.1362, datetime.datetime(2018, 10, 10, 6, 0, 24, 840000)
