tentativa,activation,init,lr_reg,lr,opt,reg,units1,loss,time
0,relu, random_normal, 1e-05, 0.001, RMSprop, l1, 512, 30.6307, datetime.datetime(2018, 10, 9, 23, 29, 1, 407000)
44,linear, random_normal, 1e-05, 0.0001, RMSprop, l1, 64, 42.3184, datetime.datetime(2018, 10, 10, 0, 25, 43, 586000)
45,relu, random_uniform, 1e-05, 0.001, Adamgrad, l2, 512, 91.1082, datetime.datetime(2018, 10, 10, 0, 29, 0, 875000)
46,relu, random_normal, 1e-05, 0.001, SGD, l1, 512, 58.9782, datetime.datetime(2018, 10, 10, 0, 30, 7, 421000)
47,linear, random_uniform, 0.01, 0.01, Adam, l1l2, 64, 84.4106, datetime.datetime(2018, 10, 10, 0, 32, 48, 143000)
48,relu, random_normal, 0.01, 0.0001, RMSprop, l1, 512, 36.9795, datetime.datetime(2018, 10, 10, 0, 34, 23, 163000)
49,relu, random_uniform, 0.01, 0.001, Adamgrad, l1l2, 512, 91.1082, datetime.datetime(2018, 10, 10, 0, 37, 18, 201000)
50,linear, random_normal, 0.001, 0.001, RMSprop, l2, 512, 33.2041, datetime.datetime(2018, 10, 10, 0, 38, 27, 853000)
51,relu, random_normal, 0.0001, 0.01, SGD, l1, 64, 36.841, datetime.datetime(2018, 10, 10, 0, 40, 24, 554000)
52,relu, random_uniform, 1e-05, 0.001, RMSprop, l1, 512, 32.1859, datetime.datetime(2018, 10, 10, 0, 42, 44, 143000)
53,linear, random_normal, 0.001, 0.0001, RMSprop, l1l2, 512, 39.2153, datetime.datetime(2018, 10, 10, 0, 44, 52, 297000)
54,relu, random_normal, 0.01, 0.001, Adam, l1, 512, 91.1082, datetime.datetime(2018, 10, 10, 0, 47, 2, 175000)
55,relu, random_normal, 0.01, 0.001, Adamgrad, l2, 64, 91.1082, datetime.datetime(2018, 10, 10, 0, 48, 13, 670000)
56,relu, random_uniform, 0.001, 0.001, RMSprop, l1, 512, 31.8802, datetime.datetime(2018, 10, 10, 0, 49, 27, 590000)
57,linear, random_normal, 0.01, 0.01, RMSprop, l1l2, 512, 38.7707, datetime.datetime(2018, 10, 10, 0, 51, 19, 726000)
58,relu, random_normal, 1e-05, 0.001, SGD, l1, 512, 58.6696, datetime.datetime(2018, 10, 10, 0, 53, 1, 22000)
59,relu, random_uniform, 0.0001, 0.0001, RMSprop, l1, 512, 37.9731, datetime.datetime(2018, 10, 10, 0, 55, 54, 145000)
60,relu, random_normal, 0.0001, 0.001, Adamgrad, l2, 64, 91.1082, datetime.datetime(2018, 10, 10, 0, 59, 1, 860000)
61,linear, random_normal, 0.01, 0.001, Adam, l1, 512, 91.1082, datetime.datetime(2018, 10, 10, 1, 0, 20, 742000)
62,relu, random_normal, 0.001, 0.001, RMSprop, l1l2, 512, 31.0581, datetime.datetime(2018, 10, 10, 1, 1, 36, 668000)
63,relu, random_normal, 0.001, 0.01, RMSprop, l1l2, 512, 33.6763, datetime.datetime(2018, 10, 10, 1, 3, 40, 749000)
64,relu, random_uniform, 0.001, 0.001, RMSprop, l1l2, 512, 31.5613, datetime.datetime(2018, 10, 10, 1, 5, 42, 92000)
65,relu, random_normal, 0.001, 0.001, RMSprop, l1l2, 512, 31.6924, datetime.datetime(2018, 10, 10, 1, 7, 56, 958000)
66,relu, random_normal, 0.001, 0.001, RMSprop, l1l2, 512, 32.663, datetime.datetime(2018, 10, 10, 1, 10, 0, 544000)
67,relu, random_normal, 0.0001, 0.001, RMSprop, l1l2, 512, 32.314, datetime.datetime(2018, 10, 10, 1, 12, 6, 601000)
68,relu, random_normal, 0.001, 0.001, RMSprop, l1l2, 512, 32.2245, datetime.datetime(2018, 10, 10, 1, 14, 13, 970000)
69,relu, random_normal, 0.001, 0.001, RMSprop, l1l2, 512, 31.899, datetime.datetime(2018, 10, 10, 1, 16, 22, 315000)
70,relu, random_normal, 0.01, 0.001, RMSprop, l1l2, 512, 33.563, datetime.datetime(2018, 10, 10, 1, 18, 25, 124000)
71,relu, random_normal, 1e-05, 0.001, RMSprop, l1, 512, 32.0741, datetime.datetime(2018, 10, 10, 1, 20, 34, 163000)
72,relu, random_normal, 1e-05, 0.001, RMSprop, l1l2, 512, 31.6024, datetime.datetime(2018, 10, 10, 1, 22, 43, 155000)
73,relu, random_normal, 0.01, 0.001, SGD, l1, 512, 59.1491, datetime.datetime(2018, 10, 10, 1, 24, 55, 84000)
74,relu, random_normal, 0.001, 0.0001, Adam, l1, 512, 91.1082, datetime.datetime(2018, 10, 10, 1, 27, 59, 999000)
75,relu, random_normal, 0.0001, 0.001, RMSprop, l1l2, 512, 32.4484, datetime.datetime(2018, 10, 10, 1, 29, 45, 238000)
76,relu, random_normal, 0.001, 0.001, Adamgrad, l2, 64, 91.1082, datetime.datetime(2018, 10, 10, 1, 31, 53, 991000)
77,relu, random_normal, 1e-05, 0.001, RMSprop, l1, 512, 32.1725, datetime.datetime(2018, 10, 10, 1, 33, 28, 609000)
78,linear, random_normal, 0.0001, 0.01, RMSprop, l1, 512, 40.7675, datetime.datetime(2018, 10, 10, 1, 35, 37, 140000)
79,relu, random_normal, 0.001, 0.001, RMSprop, l1l2, 512, 30.5591, datetime.datetime(2018, 10, 10, 1, 37, 51, 702000)
