tentativa,activation,init,lr_reg,lr,opt,reg,units1,loss,time
0,relu, random_normal, 1e-05, 0.001, RMSprop, l1, 512, 30.6307, datetime.datetime(2018, 10, 9, 23, 29, 1, 407000)
1,relu, random_normal, 0.01, 0.0001, Adamgrad, l1, 512, 91.1082, datetime.datetime(2018, 10, 9, 23, 29, 56, 390000)
2,linear, random_uniform, 0.0001, 0.001, RMSprop, l1l2, 64, 35.7991, datetime.datetime(2018, 10, 9, 23, 30, 23, 572000)
3,linear, random_uniform, 1e-05, 0.01, RMSprop, l1, 512, 35.3169, datetime.datetime(2018, 10, 9, 23, 31, 14, 86000)
4,linear, random_normal, 0.01, 0.0001, SGD, l1, 512, 91.1082, datetime.datetime(2018, 10, 9, 23, 32, 3, 287000)
5,linear, random_uniform, 1e-05, 0.01, Adamgrad, l1l2, 64, 65.6582, datetime.datetime(2018, 10, 9, 23, 32, 28, 551000)
6,linear, random_normal, 1e-05, 0.001, Adamgrad, l1l2, 512, 91.1082, datetime.datetime(2018, 10, 9, 23, 34, 3, 544000)
7,linear, random_normal, 1e-05, 0.001, Adam, l2, 512, 91.1082, datetime.datetime(2018, 10, 9, 23, 34, 30, 925000)
8,linear, random_normal, 0.0001, 0.0001, Adamgrad, l1, 64, 91.1346, datetime.datetime(2018, 10, 9, 23, 35, 0, 20000)
9,linear, random_normal, 0.001, 0.0001, SGD, l1l2, 64, 91.1082, datetime.datetime(2018, 10, 9, 23, 35, 42, 168000)
10,relu, random_uniform, 0.0001, 0.01, Adamgrad, l2, 512, 59.2182, datetime.datetime(2018, 10, 9, 23, 36, 12, 660000)
11,relu, random_uniform, 1e-05, 0.001, SGD, l1l2, 512, 59.1371, datetime.datetime(2018, 10, 9, 23, 37, 56, 775000)
12,linear, random_uniform, 0.01, 0.001, RMSprop, l2, 64, 35.7378, datetime.datetime(2018, 10, 9, 23, 39, 42, 343000)
13,relu, random_uniform, 0.0001, 0.001, Adamgrad, l1, 64, 91.1082, datetime.datetime(2018, 10, 9, 23, 40, 46, 112000)
14,linear, random_normal, 0.01, 0.01, RMSprop, l1, 512, 37.524, datetime.datetime(2018, 10, 9, 23, 41, 19, 329000)
15,relu, random_uniform, 0.001, 0.0001, RMSprop, l2, 512, 37.9593, datetime.datetime(2018, 10, 9, 23, 42, 35, 138000)
16,relu, random_uniform, 0.0001, 0.001, RMSprop, l1l2, 512, 32.8905, datetime.datetime(2018, 10, 9, 23, 44, 36, 953000)
17,relu, random_uniform, 0.01, 0.01, Adamgrad, l1, 64, 91.1072, datetime.datetime(2018, 10, 9, 23, 45, 39, 887000)
18,linear, random_normal, 1e-05, 0.0001, SGD, l1l2, 512, 91.1082, datetime.datetime(2018, 10, 9, 23, 46, 17, 605000)
19,linear, random_normal, 1e-05, 0.001, Adamgrad, l2, 512, 91.0845, datetime.datetime(2018, 10, 9, 23, 46, 54, 539000)
20,relu, random_normal, 0.0001, 0.001, Adam, l1l2, 512, 91.1082, datetime.datetime(2018, 10, 9, 23, 47, 33, 730000)
21,relu, random_uniform, 0.01, 0.001, RMSprop, l1l2, 512, 32.3431, datetime.datetime(2018, 10, 9, 23, 48, 14, 622000)
22,relu, random_normal, 0.001, 0.001, RMSprop, l1, 512, 32.052, datetime.datetime(2018, 10, 9, 23, 49, 27, 141000)
23,relu, random_normal, 0.001, 0.001, RMSprop, l1, 512, 31.4498, datetime.datetime(2018, 10, 9, 23, 50, 36, 282000)
24,relu, random_normal, 1e-05, 0.001, RMSprop, l1, 512, 31.198, datetime.datetime(2018, 10, 9, 23, 51, 58, 577000)
25,relu, random_normal, 1e-05, 0.001, Adam, l1, 512, 91.1082, datetime.datetime(2018, 10, 9, 23, 53, 23, 17000)
26,relu, random_normal, 1e-05, 0.001, RMSprop, l1, 512, 31.9654, datetime.datetime(2018, 10, 9, 23, 54, 7, 675000)
27,relu, random_normal, 1e-05, 0.001, RMSprop, l1, 512, 32.0875, datetime.datetime(2018, 10, 9, 23, 55, 30, 111000)
28,relu, random_normal, 1e-05, 0.001, RMSprop, l1, 512, 32.5665, datetime.datetime(2018, 10, 9, 23, 56, 46, 548000)
29,relu, random_normal, 1e-05, 0.001, Adam, l1, 512, 91.1082, datetime.datetime(2018, 10, 9, 23, 58, 11, 352000)
30,relu, random_normal, 1e-05, 0.001, RMSprop, l1, 512, 31.2675, datetime.datetime(2018, 10, 9, 23, 58, 58, 476000)
31,relu, random_normal, 1e-05, 0.01, RMSprop, l1, 512, 34.7987, datetime.datetime(2018, 10, 10, 0, 0, 18, 279000)
32,relu, random_normal, 0.001, 0.0001, RMSprop, l1, 64, 50.9159, datetime.datetime(2018, 10, 10, 0, 1, 27, 864000)
33,relu, random_normal, 0.0001, 0.001, SGD, l1, 512, 59.2115, datetime.datetime(2018, 10, 10, 0, 4, 28, 217000)
34,relu, random_normal, 1e-05, 0.01, RMSprop, l1, 512, 35.3335, datetime.datetime(2018, 10, 10, 0, 6, 53, 64000)
35,relu, random_normal, 0.01, 0.001, Adam, l2, 64, 91.1082, datetime.datetime(2018, 10, 10, 0, 8, 22, 62000)
36,relu, random_normal, 1e-05, 0.0001, RMSprop, l1, 512, 38.4248, datetime.datetime(2018, 10, 10, 0, 9, 27, 111000)
37,relu, random_normal, 1e-05, 0.001, SGD, l1, 512, 59.2074, datetime.datetime(2018, 10, 10, 0, 11, 44, 814000)
38,relu, random_normal, 0.0001, 0.01, RMSprop, l1, 64, 32.8849, datetime.datetime(2018, 10, 10, 0, 14, 5, 905000)
39,relu, random_normal, 0.001, 0.001, Adam, l2, 512, 91.1082, datetime.datetime(2018, 10, 10, 0, 15, 48, 96000)
40,linear, random_normal, 1e-05, 0.0001, RMSprop, l1, 512, 38.7297, datetime.datetime(2018, 10, 10, 0, 16, 51, 522000)
41,relu, random_normal, 0.001, 0.001, SGD, l1, 64, 71.8614, datetime.datetime(2018, 10, 10, 0, 18, 51, 315000)
42,linear, random_uniform, 0.0001, 0.01, Adamgrad, l2, 512, 59.107, datetime.datetime(2018, 10, 10, 0, 21, 6, 680000)
43,relu, random_normal, 0.001, 0.001, RMSprop, l1l2, 512, 31.629, datetime.datetime(2018, 10, 10, 0, 23, 47, 143000)
