activation,init,lr,lr_reg,opt,reg,units1,loss
linear, random_uniform, 0.001, 1e-05, RMSprop, l2, 128, 10.8081
linear, random_normal, 0.0001, 1e-05, Adam, l1l2, 128, 97.1831
linear, random_uniform, 0.001, 0.0001, RMSprop, l2, 64, 10.6935
linear, random_uniform, 0.0001, 0.01, SGD, l1, 128, 99.4987
linear, random_normal, 0.0001, 1e-05, Adamgrad, l1l2, 128, 99.0851
relu, random_uniform, 0.001, 1e-05, RMSprop, l2, 64, 10.3955
linear, random_uniform, 0.0001, 0.0001, Adam, l1, 128, 98.5507
relu, random_normal, 0.01, 0.01, RMSprop, l2, 32, 22.5931
linear, random_uniform, 0.0001, 1e-05, RMSprop, l1l2, 128, 11.5498
linear, random_uniform, 0.0001, 0.001, SGD, l2, 64, 88.5023
relu, random_normal, 0.001, 0.01, Adamgrad, l1, 32, 98.3966
linear, random_uniform, 0.01, 1e-05, Adam, l1l2, 128, 17.1277
relu, random_uniform, 0.0001, 0.0001, RMSprop, l2, 64, 11.0469
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 32, 11.484
linear, random_uniform, 0.01, 1e-05, SGD, l1, 128, 11.1294
relu, random_uniform, 0.0001, 0.01, Adamgrad, l1l2, 128, 98.9644
linear, random_normal, 0.001, 1e-05, RMSprop, l2, 64, 10.5992
linear, random_uniform, 0.0001, 0.001, Adam, l2, 32, 99.3064
relu, random_uniform, 0.01, 1e-05, RMSprop, l1, 128, 12.6932
linear, random_uniform, 0.0001, 0.0001, SGD, l2, 128, 46.3134
linear, random_normal, 0.0001, 1e-05, RMSprop, l1l2, 128, 11.7729
linear, random_uniform, 0.0001, 0.01, RMSprop, l2, 32, 12.8971
relu, random_uniform, 0.01, 0.001, Adamgrad, l2, 64, 14.1782
linear, random_uniform, 0.0001, 1e-05, Adam, l2, 128, 99.3348
linear, random_normal, 0.001, 1e-05, RMSprop, l1, 128, 10.6923
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.3843
relu, random_uniform, 0.0001, 0.0001, SGD, l1l2, 32, 97.1994
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.6571
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4134
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4481
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.6179
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.3482
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4053
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.653
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4682
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.5976
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4512
linear, random_uniform, 0.01, 0.01, Adamgrad, l2, 128, 16.9817
linear, random_uniform, 0.001, 0.001, Adam, l2, 64, 70.385
linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4304
linear, random_uniform, 0.0001, 1e-05, RMSprop, l1, 128, 10.5142
linear, random_normal, 0.0001, 0.0001, SGD, l2, 128, 32.2713
