activation,init,lr,lr_reg,opt,reg,units1,loss
linear, random_normal, 0.01, 1e-05, RMSprop, l1, 32, 12.2082
relu, random_normal, 0.0001, 0.01, Adamgrad, l1, 128, 98.0537
linear, random_uniform, 0.001, 1e-05, RMSprop, l2, 32, 10.5982
relu, random_normal, 0.001, 0.001, SGD, l1l2, 64, 58.4222
linear, random_normal, 0.001, 0.0001, RMSprop, l1, 32, 10.9208
linear, random_normal, 0.0001, 1e-05, Adam, l1, 32, 98.8958
relu, random_uniform, 0.001, 1e-05, RMSprop, l1, 128, 10.8313
linear, random_normal, 0.01, 1e-05, Adamgrad, l2, 32, 12.9352
relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.8153
relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.8329
relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.8153
relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.5081
relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.9275
relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.5895
relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.6084
relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.8923
relu, random_normal, 0.001, 0.01, RMSprop, l1, 32, 96.5069
relu, random_normal, 0.001, 0.001, RMSprop, l1, 32, 12.6213
linear, random_normal, 0.001, 1e-05, Adam, l1, 32, 75.5656
relu, random_normal, 0.001, 0.0001, SGD, l1, 64, 12.7818
linear, random_normal, 0.0001, 1e-05, RMSprop, l1l2, 32, 12.6306
relu, random_normal, 0.001, 1e-05, RMSprop, l1, 128, 10.4252
linear, random_normal, 0.001, 1e-05, RMSprop, l1, 128, 10.7348
