activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
linear, random_uniform, 0.01, 1e-05, Adam, l1l2, 32, 22.4976
linear, random_normal, 0.01, 0.0001, Adamgrad, l1l2, 128, 15.4713
relu, random_uniform, 0.001, 0.001, SGD, l1, 64, 58.613
relu, random_uniform, 0.01, 1e-05, Adamgrad, l2, 128, 12.9392
relu, random_normal, 0.01, 0.01, RMSprop, l2, 64, 38.5994
linear, random_normal, 0.01, 0.01, RMSprop, l2, 64, 25.4791
linear, random_uniform, 0.001, 0.001, Adam, l1l2, 32, 89.3737
relu, random_uniform, 0.0001, 0.001, Adamgrad, l1, 64, 98.5417
relu, random_uniform, 0.001, 1e-05, Adam, l1l2, 64, 90.5839
linear, random_normal, 0.001, 0.01, Adamgrad, l1l2, 32, 97.9462
relu, random_uniform, 0.01, 1e-05, Adam, l2, 64, 14.3306
relu, random_normal, 0.0001, 1e-05, SGD, l1l2, 32, 92.6305
linear, random_uniform, 0.001, 0.01, Adamgrad, l1l2, 32, 99.4778
relu, random_uniform, 0.01, 1e-05, Adam, l1, 64, 13.7707
relu, random_uniform, 0.01, 0.001, Adam, l1, 64, 46.094
relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 11.6212
relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 11.6352
relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 11.4026
relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 11.1662
relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 11.3363
relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 11.5838
relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 11.556
relu, random_normal, 0.0001, 0.0001, SGD, l2, 128, 41.9511
relu, random_normal, 0.01, 0.0001, SGD, l2, 128, 11.3031
linear, random_normal, 0.0001, 0.0001, RMSprop, l2, 128, 10.3973
linear, random_normal, 0.0001, 0.0001, RMSprop, l2, 128, 10.6781
linear, random_normal, 0.0001, 0.0001, RMSprop, l2, 128, 10.771
linear, random_normal, 0.0001, 0.0001, RMSprop, l2, 128, 10.6488
linear, random_normal, 0.0001, 0.0001, RMSprop, l2, 128, 10.6208
linear, random_normal, 0.0001, 0.01, RMSprop, l2, 128, 11.7874
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.9956
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 128, 10.8576
linear, random_normal, 0.0001, 0.0001, RMSprop, l2, 32, 11.3198
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.6336
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 128, 10.7622
linear, random_normal, 0.0001, 0.01, RMSprop, l2, 128, 11.6596
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 32, 11.626
linear, random_normal, 0.0001, 1e-05, RMSprop, l1l2, 128, 11.935
linear, random_normal, 0.001, 0.0001, Adamgrad, l2, 128, 32.1097
linear, random_uniform, 0.0001, 0.001, RMSprop, l2, 32, 11.4544
linear, random_normal, 0.0001, 0.01, RMSprop, l1l2, 64, 99.5026
linear, random_uniform, 0.001, 1e-05, Adamgrad, l2, 128, 49.3644
linear, random_normal, 0.0001, 0.0001, Adam, l1, 32, 99.1864
linear, random_uniform, 0.0001, 0.01, RMSprop, l1l2, 64, 99.5012
linear, random_normal, 0.001, 0.001, RMSprop, l2, 128, 12.9805
linear, random_normal, 0.0001, 1e-05, Adamgrad, l1, 128, 99.1988
linear, random_uniform, 0.0001, 0.0001, Adam, l1l2, 64, 99.2904
linear, random_normal, 0.001, 0.0001, RMSprop, l2, 32, 10.7954
linear, random_normal, 0.0001, 0.0001, Adam, l2, 128, 99.2174
linear, random_uniform, 0.0001, 1e-05, Adamgrad, l2, 64, 99.0062
linear, random_normal, 0.001, 0.001, RMSprop, l1l2, 128, 18.7846
linear, random_normal, 0.0001, 0.01, RMSprop, l1, 32, 99.502
linear, random_uniform, 0.0001, 0.0001, Adam, l2, 128, 98.2444
linear, random_normal, 0.001, 0.0001, RMSprop, l2, 128, 10.9265
linear, random_normal, 0.0001, 1e-05, Adamgrad, l2, 64, 98.9216
linear, random_normal, 0.0001, 0.0001, RMSprop, l1l2, 128, 12.0357
linear, random_uniform, 0.0001, 0.01, RMSprop, l2, 128, 11.3624
linear, random_normal, 0.001, 0.0001, Adam, l1, 32, 75.979
relu, random_normal, 0.0001, 0.001, Adamgrad, l2, 128, 98.6495
linear, random_normal, 0.01, 0.0001, RMSprop, l2, 64, 15.4929
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.8716
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.6803
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.6704
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.8439
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.6631
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.8427
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.7184
linear, random_normal, 0.0001, 0.0001, SGD, l1, 128, 32.7526
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.8133
relu, random_normal, 0.0001, 0.0001, RMSprop, l2, 128, 11.2144
linear, random_normal, 0.01, 1e-05, RMSprop, l1, 128, 14.2009
linear, random_normal, 0.0001, 0.01, SGD, l1l2, 128, 95.7231
relu, random_normal, 0.0001, 0.001, RMSprop, l2, 32, 12.4834
linear, random_uniform, 0.0001, 0.0001, Adam, l2, 128, 98.8206
linear, random_normal, 0.01, 0.0001, RMSprop, l1, 128, 15.7265
linear, random_normal, 0.001, 1e-05, SGD, l1l2, 64, 16.1919
relu, random_uniform, 0.0001, 0.001, Adam, l1l2, 64, 99.2189
linear, random_uniform, 0.0001, 0.01, RMSprop, l1l2, 32, 99.5009
relu, random_uniform, 0.0001, 0.001, Adam, l1, 128, 99.3693
relu, random_normal, 0.01, 0.01, RMSprop, l2, 64, 31.9458
linear, random_normal, 0.01, 0.0001, SGD, l1, 32, 12.3032
relu, random_uniform, 0.0001, 0.0001, Adamgrad, l1l2, 64, 98.8968
linear, random_normal, 0.01, 0.0001, SGD, l1, 64, 12.0294
linear, random_normal, 0.001, 0.001, Adam, l1, 32, 80.7381
relu, random_uniform, 0.01, 0.01, Adam, l1l2, 32, 99.5009
linear, random_uniform, 0.0001, 1e-05, SGD, l1, 32, 93.9259
relu, random_uniform, 0.0001, 1e-05, RMSprop, l1, 64, 11.6701
relu, random_uniform, 0.001, 1e-05, Adam, l2, 128, 80.2302
relu, random_normal, 0.0001, 0.001, SGD, l1l2, 32, 96.3084
relu, random_uniform, 0.001, 0.001, SGD, l1l2, 64, 91.0479
relu, random_normal, 0.01, 0.01, Adamgrad, l1l2, 32, 99.5003
linear, random_uniform, 0.01, 1e-05, SGD, l1l2, 128, 19.3275
linear, random_uniform, 0.001, 0.01, Adam, l1, 128, 99.5003
relu, random_uniform, 0.01, 1e-05, RMSprop, l1, 128, 13.0335
linear, random_normal, 0.0001, 0.01, SGD, l2, 64, 48.4225
linear, random_normal, 0.01, 0.0001, RMSprop, l1, 64, 14.2892
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 64, 10.9241
relu, random_normal, 0.0001, 0.0001, RMSprop, l1, 64, 11.4992
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 64, 11.0571
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 64, 10.9717
linear, random_normal, 0.0001, 0.0001, RMSprop, l2, 64, 10.9755
linear, random_normal, 0.0001, 0.0001, Adamgrad, l1, 64, 98.6634
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 64, 11.1289
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 64, 10.9944
linear, random_normal, 0.0001, 0.0001, RMSprop, l2, 64, 11.2134
linear, random_normal, 0.001, 0.0001, RMSprop, l1, 64, 11.0897
linear, random_normal, 0.0001, 0.0001, Adamgrad, l1, 64, 99.3492
linear, random_normal, 0.0001, 0.0001, RMSprop, l1, 128, 10.8682
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 128, 10.8052
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 128, 10.8364
linear, random_normal, 0.0001, 0.001, Adamgrad, l2, 128, 97.6122
linear, random_normal, 0.001, 0.001, RMSprop, l2, 128, 12.6484
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 128, 10.945
linear, random_normal, 0.0001, 0.001, Adam, l2, 128, 99.1984
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 128, 11.0521
linear, random_normal, 0.001, 0.001, Adamgrad, l2, 128, 34.9243
linear, random_normal, 0.0001, 0.001, Adam, l2, 128, 97.9457
linear, random_normal, 0.01, 0.001, RMSprop, l2, 128, 20.0016
linear, random_uniform, 0.0001, 0.001, RMSprop, l2, 128, 10.7814
relu, random_uniform, 0.001, 0.001, SGD, l2, 32, 18.3356
linear, random_uniform, 0.0001, 0.001, Adam, l2, 128, 99.4975
relu, random_uniform, 0.01, 0.01, Adamgrad, l2, 128, 20.0126
linear, random_uniform, 0.0001, 1e-05, RMSprop, l1l2, 32, 13.1284
relu, random_uniform, 0.001, 0.001, SGD, l2, 128, 13.4069
linear, random_uniform, 0.01, 0.001, Adam, l1l2, 128, 70.3383
linear, random_uniform, 0.0001, 0.01, RMSprop, l2, 32, 13.026
relu, random_uniform, 0.0001, 1e-05, SGD, l2, 128, 69.7516
linear, random_uniform, 0.01, 0.001, RMSprop, l1l2, 128, 33.6491
linear, random_uniform, 0.001, 0.001, Adamgrad, l2, 128, 49.7822
relu, random_uniform, 0.0001, 0.01, RMSprop, l2, 32, 20.8068
linear, random_uniform, 0.0001, 1e-05, Adam, l1l2, 128, 99.0479
linear, random_uniform, 0.01, 0.001, RMSprop, l2, 128, 19.2006
relu, random_uniform, 0.0001, 0.001, SGD, l2, 32, 96.1921
linear, random_uniform, 0.0001, 0.01, RMSprop, l1l2, 128, 99.4894
linear, random_uniform, 0.001, 1e-05, RMSprop, l2, 128, 11.1735
linear, random_uniform, 0.0001, 0.001, Adamgrad, l2, 32, 99.3355
relu, random_uniform, 0.01, 0.001, RMSprop, l2, 128, 16.6838
linear, random_normal, 0.0001, 0.01, Adam, l1l2, 128, 98.3142
linear, random_uniform, 0.0001, 1e-05, SGD, l2, 128, 46.963
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 32, 11.7964
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 128, 10.9619
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 128, 10.9303
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 128, 10.8825
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 128, 10.8493
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 128, 10.9047
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 128, 10.9399
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 128, 10.8919
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 128, 10.7883
linear, random_normal, 0.0001, 0.001, RMSprop, l2, 128, 10.9313
linear, random_normal, 0.001, 0.001, RMSprop, l2, 128, 12.9563
linear, random_normal, 0.0001, 0.001, Adamgrad, l2, 128, 98.5906
linear, random_normal, 0.0001, 0.01, RMSprop, l1l2, 128, 99.2124
linear, random_normal, 0.0001, 0.001, Adam, l2, 128, 98.1262
relu, random_normal, 0.01, 1e-05, RMSprop, l1, 64, 13.0704
linear, random_normal, 0.0001, 0.001, SGD, l2, 128, 34.056
relu, random_uniform, 0.01, 0.01, RMSprop, l2, 32, 28.3716
linear, random_uniform, 0.0001, 0.0001, SGD, l1, 32, 95.5644
linear, random_uniform, 0.001, 0.0001, SGD, l2, 32, 14.3739
relu, random_uniform, 0.001, 0.001, SGD, l1l2, 64, 88.6374
linear, random_uniform, 0.001, 0.01, SGD, l1, 64, 99.5016
linear, random_uniform, 0.01, 0.001, SGD, l1, 128, 13.7499
relu, random_normal, 0.001, 0.01, Adam, l1l2, 32, 98.8969
relu, random_normal, 0.001, 1e-05, Adam, l1, 128, 42.5387
linear, random_uniform, 0.0001, 0.001, SGD, l2, 64, 71.5943
relu, random_normal, 0.01, 0.0001, Adamgrad, l1l2, 128, 20.5275
linear, random_normal, 0.001, 0.01, Adamgrad, l1l2, 64, 96.6922
relu, random_uniform, 0.01, 0.0001, RMSprop, l1l2, 128, 30.7852
relu, random_normal, 0.01, 1e-05, Adamgrad, l2, 64, 12.581
relu, random_normal, 0.0001, 0.0001, Adam, l1, 32, 98.377
linear, random_normal, 0.0001, 0.0001, Adam, l1, 64, 98.8242
relu, random_normal, 0.001, 0.01, Adam, l2, 128, 45.9698
linear, random_normal, 0.001, 0.0001, Adamgrad, l1, 32, 73.599
relu, random_normal, 0.01, 1e-05, Adamgrad, l1l2, 64, 17.5179
relu, random_normal, 0.0001, 0.01, Adamgrad, l1l2, 64, 98.947
relu, random_normal, 0.001, 1e-05, Adam, l1l2, 64, 66.3142
linear, random_uniform, 0.01, 0.001, RMSprop, l2, 128, 20.4762
linear, random_uniform, 0.01, 0.001, Adamgrad, l2, 128, 12.6816
linear, random_uniform, 0.01, 1e-05, Adamgrad, l2, 128, 12.3394
linear, random_uniform, 0.01, 1e-05, Adamgrad, l2, 128, 12.2374
linear, random_uniform, 0.01, 1e-05, Adamgrad, l2, 128, 12.0436
linear, random_uniform, 0.01, 1e-05, Adamgrad, l2, 128, 12.7412
linear, random_uniform, 0.01, 1e-05, Adamgrad, l2, 128, 12.2018
linear, random_uniform, 0.01, 1e-05, Adamgrad, l2, 128, 12.4738
