tentativa,activation, init, lr, lr_reg, opt, reg, units1, loss
0,linear, random_normal, 0.001, 1e-05, Adamgrad, l1l2, 128, 34.2716
1,linear, random_normal, 0.0001, 1e-05, Adamgrad, l1, 128, 98.8961
2,relu, random_uniform, 0.0001, 1e-05, Adamgrad, l1l2, 128, 98.2976
3,relu, random_normal, 0.001, 1e-05, SGD, l1l2, 128, 15.7616
4,relu, random_uniform, 0.01, 0.0001, SGD, l1, 64, 11.9076
5,relu, random_normal, 0.001, 0.001, RMSprop, l1l2, 64, 13.5805
6,relu, random_normal, 0.001, 0.0001, SGD, l1l2, 128, 17.5305
7,linear, random_uniform, 0.001, 0.001, Adam, l1, 32, 96.6274
8,linear, random_normal, 0.001, 0.0001, Adamgrad, l2, 64, 53.2741
9,relu, random_uniform, 0.0001, 0.01, RMSprop, l2, 32, 20.2889
10,linear, random_uniform, 0.01, 1e-05, Adam, l1l2, 128, 16.9665
11,relu, random_normal, 0.01, 1e-05, SGD, l1, 32, 11.5763
12,linear, random_uniform, 0.0001, 0.01, Adam, l1, 64, 98.1983
13,relu, random_uniform, 0.0001, 0.0001, RMSprop, l1, 32, 12.4289
14,relu, random_normal, 0.01, 0.01, RMSprop, l1l2, 32, 99.4993
15,linear, random_uniform, 0.0001, 0.001, RMSprop, l2, 128, 10.6519
16,relu, random_normal, 0.0001, 0.01, Adamgrad, l1l2, 32, 98.7656
17,relu, random_uniform, 0.01, 0.01, Adamgrad, l1l2, 64, 99.5023
18,relu, random_normal, 0.0001, 0.001, SGD, l2, 64, 56.5061
19,linear, random_uniform, 0.01, 0.001, Adam, l1, 64, 48.17
20,linear, random_uniform, 0.01, 0.001, RMSprop, l2, 32, 19.0874
21,linear, random_normal, 0.01, 0.001, SGD, l2, 32, 11.6318
22,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4983
23,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.3864
24,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.6217
25,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.5544
26,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.3384
27,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4866
28,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.5137
29,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.5311
30,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4076
31,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.37
32,linear, random_uniform, 0.0001, 1e-05, Adamgrad, l2, 128, 97.3742
33,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.5798
34,linear, random_uniform, 0.001, 0.0001, Adam, l2, 128, 47.67
35,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4252
36,linear, random_uniform, 0.001, 1e-05, Adamgrad, l2, 128, 46.8782
37,linear, random_uniform, 0.0001, 0.0001, SGD, l1, 128, 49.7867
38,linear, random_uniform, 0.001, 1e-05, RMSprop, l2, 128, 10.8081
39,linear, random_normal, 0.0001, 1e-05, Adam, l1l2, 128, 97.1831
40,linear, random_uniform, 0.001, 0.0001, RMSprop, l2, 64, 10.6935
41,linear, random_uniform, 0.0001, 0.01, SGD, l1, 128, 99.4987
42,linear, random_normal, 0.0001, 1e-05, Adamgrad, l1l2, 128, 99.0851
43,relu, random_uniform, 0.001, 1e-05, RMSprop, l2, 64, 10.3955
44,linear, random_uniform, 0.0001, 0.0001, Adam, l1, 128, 98.5507
45,relu, random_normal, 0.01, 0.01, RMSprop, l2, 32, 22.5931
46,linear, random_uniform, 0.0001, 1e-05, RMSprop, l1l2, 128, 11.5498
47,linear, random_uniform, 0.0001, 0.001, SGD, l2, 64, 88.5023
48,relu, random_normal, 0.001, 0.01, Adamgrad, l1, 32, 98.3966
49,linear, random_uniform, 0.01, 1e-05, Adam, l1l2, 128, 17.1277
50,relu, random_uniform, 0.0001, 0.0001, RMSprop, l2, 64, 11.0469
51,linear, random_normal, 0.0001, 0.001, RMSprop, l2, 32, 11.484
52,linear, random_uniform, 0.01, 1e-05, SGD, l1, 128, 11.1294
