tentativa,activation, init, lr, lr_reg, opt, reg, units1, loss
53,relu, random_uniform, 0.0001, 0.01, Adamgrad, l1l2, 128, 98.9644
54,linear, random_normal, 0.001, 1e-05, RMSprop, l2, 64, 10.5992
55,linear, random_uniform, 0.0001, 0.001, Adam, l2, 32, 99.3064
56,relu, random_uniform, 0.01, 1e-05, RMSprop, l1, 128, 12.6932
57,linear, random_uniform, 0.0001, 0.0001, SGD, l2, 128, 46.3134
58,linear, random_normal, 0.0001, 1e-05, RMSprop, l1l2, 128, 11.7729
59,linear, random_uniform, 0.0001, 0.01, RMSprop, l2, 32, 12.8971
60,relu, random_uniform, 0.01, 0.001, Adamgrad, l2, 64, 14.1782
61,linear, random_uniform, 0.0001, 1e-05, Adam, l2, 128, 99.3348
62,linear, random_normal, 0.001, 1e-05, RMSprop, l1, 128, 10.6923
63,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.3843
64,relu, random_uniform, 0.0001, 0.0001, SGD, l1l2, 32, 97.1994
65,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.6571
66,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4134
67,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4481
68,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.6179
69,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.3482
70,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4053
71,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.653
72,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4682
73,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.5976
74,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4512
75,linear, random_uniform, 0.01, 0.01, Adamgrad, l2, 128, 16.9817
76,linear, random_uniform, 0.001, 0.001, Adam, l2, 64, 70.385
77,linear, random_uniform, 0.0001, 1e-05, RMSprop, l2, 128, 10.4304
78,linear, random_uniform, 0.0001, 1e-05, RMSprop, l1, 128, 10.5142
79,linear, random_normal, 0.0001, 0.0001, SGD, l2, 128, 32.2713
