tentativa,activation, init, lr, lr_reg, opt, reg, units1, loss
0,relu, random_normal, 0.01, 0.01, SGD, l1, 64, 99.5001
1,relu, random_uniform, 0.001, 0.001, Adam, l1, 64, 96.7826
2,linear, random_uniform, 0.0001, 1e-05, SGD, l1, 64, 86.7896
3,relu, random_uniform, 0.001, 0.0001, RMSprop, l1, 64, 11.1724
4,relu, random_uniform, 0.001, 1e-05, RMSprop, l1, 32, 10.6857
5,linear, random_uniform, 0.01, 0.01, RMSprop, l1l2, 64, 97.9214
6,linear, random_normal, 0.001, 1e-05, SGD, l1, 64, 12.312
7,relu, random_uniform, 0.001, 1e-05, SGD, l1, 32, 16.6312
8,linear, random_uniform, 0.0001, 0.0001, Adam, l2, 32, 99.0484
9,linear, random_uniform, 0.01, 0.01, SGD, l1l2, 64, 99.5001
10,linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.583
11,relu, random_uniform, 0.001, 0.001, Adamgrad, l1l2, 128, 80.2364
12,linear, random_uniform, 0.01, 1e-05, Adamgrad, l2, 64, 12.8297
13,relu, random_uniform, 0.001, 0.001, SGD, l1l2, 32, 93.4579
14,relu, random_uniform, 0.01, 0.0001, RMSprop, l1, 32, 15.0816
15,linear, random_uniform, 0.01, 1e-05, Adamgrad, l1l2, 64, 40.4278
16,relu, random_normal, 0.0001, 0.01, SGD, l1l2, 64, 98.4717
17,linear, random_uniform, 0.001, 0.01, Adam, l2, 64, 78.6084
18,linear, random_uniform, 0.01, 0.001, RMSprop, l1l2, 128, 28.9656
19,relu, random_normal, 0.001, 0.01, SGD, l2, 128, 18.7667
20,linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.5948
21,linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.6854
22,linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.7887
23,linear, random_normal, 0.0001, 1e-05, RMSprop, l1, 32, 11.4261
24,linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.4654
25,linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.6112
26,linear, random_normal, 0.001, 0.0001, RMSprop, l1, 32, 10.9354
27,linear, random_normal, 0.0001, 1e-05, Adam, l2, 128, 98.0297
28,linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.7795
29,linear, random_normal, 0.001, 1e-05, Adamgrad, l1, 32, 66.8586
30,linear, random_normal, 0.001, 0.001, RMSprop, l1, 32, 12.847
31,linear, random_normal, 0.0001, 1e-05, Adam, l1, 128, 99.1363
32,linear, random_normal, 0.001, 0.0001, RMSprop, l1, 32, 10.8044
33,linear, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.765
34,linear, random_normal, 0.001, 0.001, Adamgrad, l1, 32, 83.1896
35,linear, random_normal, 0.0001, 1e-05, RMSprop, l2, 32, 11.0625
36,linear, random_normal, 0.001, 0.0001, Adam, l1, 128, 31.2647
37,relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.5249
38,relu, random_normal, 0.01, 0.01, RMSprop, l1, 32, 99.5007
39,relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.8114
40,relu, random_normal, 0.0001, 1e-05, Adam, l2, 32, 99.4303
41,relu, random_normal, 0.001, 0.0001, Adamgrad, l1, 128, 39.2888
42,relu, random_normal, 0.01, 0.001, SGD, l1l2, 64, 20.1181
43,relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.5791
44,relu, random_normal, 0.001, 0.01, RMSprop, l2, 32, 14.0324
45,relu, random_normal, 0.01, 1e-05, SGD, l1l2, 64, 16.3939
46,relu, random_uniform, 0.001, 1e-05, Adamgrad, l1, 32, 95.8909
47,relu, random_normal, 0.0001, 0.001, RMSprop, l1, 128, 13.6643
48,relu, random_uniform, 0.001, 0.0001, Adam, l1l2, 64, 95.519
49,relu, random_normal, 0.01, 0.01, SGD, l2, 32, 16.5911
50,relu, random_uniform, 0.001, 1e-05, RMSprop, l1, 32, 10.8044
51,relu, random_normal, 0.001, 1e-05, Adamgrad, l1l2, 64, 89.9071
52,relu, random_normal, 0.0001, 0.01, RMSprop, l1, 32, 99.4995
53,relu, random_uniform, 0.01, 0.001, RMSprop, l1, 128, 19.2152
54,linear, random_normal, 0.001, 1e-05, SGD, l2, 32, 12.9541
55,relu, random_normal, 0.001, 0.0001, Adam, l1l2, 64, 73.2096
56,linear, random_uniform, 0.001, 1e-05, RMSprop, l1, 32, 10.6318
57,linear, random_normal, 0.01, 1e-05, RMSprop, l1, 32, 12.2082
58,relu, random_normal, 0.0001, 0.01, Adamgrad, l1, 128, 98.0537
59,linear, random_uniform, 0.001, 1e-05, RMSprop, l2, 32, 10.5982
60,relu, random_normal, 0.001, 0.001, SGD, l1l2, 64, 58.4222
61,linear, random_normal, 0.001, 0.0001, RMSprop, l1, 32, 10.9208
62,linear, random_normal, 0.0001, 1e-05, Adam, l1, 32, 98.8958
63,relu, random_uniform, 0.001, 1e-05, RMSprop, l1, 128, 10.8313
64,linear, random_normal, 0.01, 1e-05, Adamgrad, l2, 32, 12.9352
65,relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.8153
66,relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.8329
67,relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.8153
68,relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.5081
69,relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.9275
70,relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.5895
71,relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.6084
72,relu, random_normal, 0.001, 1e-05, RMSprop, l1, 32, 10.8923
73,relu, random_normal, 0.001, 0.01, RMSprop, l1, 32, 96.5069
74,relu, random_normal, 0.001, 0.001, RMSprop, l1, 32, 12.6213
75,linear, random_normal, 0.001, 1e-05, Adam, l1, 32, 75.5656
76,relu, random_normal, 0.001, 0.0001, SGD, l1, 64, 12.7818
77,linear, random_normal, 0.0001, 1e-05, RMSprop, l1l2, 32, 12.6306
78,relu, random_normal, 0.001, 1e-05, RMSprop, l1, 128, 10.4252
79,linear, random_normal, 0.001, 1e-05, RMSprop, l1, 128, 10.7348
