tentativa,activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
67,relu,0.3,random_normal,0.0001,0.0001,2,RMSprop,l2,64,39.899
68,relu,0.3,random_normal,0.0001,0.0001,2,RMSprop,l2,64,40.4223
69,relu,0.3,random_normal,0.0001,0.0001,2,RMSprop,l2,64,40.4192
70,relu,0.3,random_normal,0.0001,0.0001,2,RMSprop,l2,64,39.4091
71,relu,0.3,random_normal,0.0001,0.0001,2,RMSprop,l2,64,41.2852
72,relu,0.3,random_normal,0.0001,0.0001,2,RMSprop,l2,64,39.4115
73,relu,0.3,random_normal,0.0001,0.0001,2,RMSprop,l2,64,39.799
74,relu,0.3,random_normal,0.0001,0.0001,2,RMSprop,l2,64,39.6408
75,relu,0.3,random_normal,0.0001,0.0001,2,RMSprop,l2,64,39.5022
76,relu,0.3,random_normal,0.0001,0.0001,2,Adamgrad,l2,64,96.2072
77,relu,0.5,random_normal,0.01,0.0001,1,Adam,l1l2,64,96.2072
78,relu,0.1,random_uniform,0.0001,0.0001,2,RMSprop,l2,64,39.6953
79,relu,0.3,random_normal,0.0001,0.00001,2,RMSprop,l1,64,39.668
