tentativa,activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
0,linear,0.3,random_uniform,0.001,0.00001,2,SGD,l2,64,96.2074
1,linear,0.5,random_normal,0.001,0.0001,1,Adam,l2,128,96.1506
2,linear,0.1,random_normal,0.001,0.0001,1,RMSprop,l1l2,64,61.7073
3,linear,0.3,random_normal,0.0001,0.0001,2,Adamgrad,l2,64,96.2074
4,linear,0.1,random_uniform,0.001,0.00001,2,RMSprop,l2,64,37.209
5,linear,0.5,random_uniform,0.01,0.0001,1,SGD,l1,32,39.5182
6,linear,0.5,random_uniform,0.01,0.001,1,RMSprop,l1,64,64.0572
7,relu,0.1,random_normal,0.001,0.01,1,RMSprop,l1,32,96.2074
8,relu,0.7,random_uniform,0.001,0.01,1,Adam,l2,64,96.2074
9,relu,0,random_normal,0.001,0.01,4,Adamgrad,l1,32,96.2074
10,linear,0.1,random_uniform,0.01,0.001,4,Adamgrad,l1,32,96.2074
11,relu,0,random_normal,0.001,0.0001,4,RMSprop,l1l2,128,83.173
12,relu,0.1,random_uniform,0.001,0.0001,4,Adamgrad,l1l2,32,96.2074
13,linear,0.7,random_uniform,0.0001,0.001,1,RMSprop,l1l2,128,96.2074
14,linear,0,random_normal,0.01,0.00001,2,Adamgrad,l2,128,43.8375
15,linear,0.1,random_normal,0.001,0.0001,1,Adamgrad,l1,128,96.1885
16,linear,0.3,random_uniform,0.0001,0.01,1,Adam,l1,32,96.2074
17,relu,0,random_uniform,0.001,0.001,2,Adamgrad,l1,128,96.2074
18,linear,0.1,random_uniform,0.0001,0.01,2,Adam,l1l2,64,96.2074
19,linear,0.3,random_uniform,0.01,0.01,4,Adamgrad,l1,32,96.2074
20,linear,0.5,random_uniform,0.01,0.00001,2,SGD,l2,64,40.8472
21,linear,0.5,random_uniform,0.01,0.00001,2,SGD,l2,32,49.5422
22,linear,0.5,random_uniform,0.01,0.00001,2,SGD,l2,32,49.5651
23,linear,0.5,random_uniform,0.01,0.00001,1,SGD,l2,64,36.9945
24,linear,0.7,random_uniform,0.01,0.00001,2,RMSprop,l2,64,53.8988
25,linear,0.5,random_uniform,0.0001,0.00001,2,SGD,l2,64,96.2074
26,linear,0.1,random_uniform,0.01,0.00001,1,RMSprop,l2,64,40.7722
