activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
linear, 0.1, random_normal, 0.0001, 0.01, 4, RMSprop, l1l2, 64, 99.4975
relu, 0.5, random_normal, 0.01, 1e-05, 4, Adamgrad, l1, 64, 99.4975
relu, 0, random_uniform, 0.01, 0.0001, 4, Adam, l1, 128, 99.4975
linear, 0.5, random_uniform, 0.01, 0.01, 1, RMSprop, l2, 64, 82.2769
linear, 0.5, random_uniform, 0.0001, 0.01, 1, Adam, l1l2, 64, 99.3104
relu, 0.5, random_uniform, 0.001, 0.001, 4, Adam, l1, 64, 99.4975
linear, 0.1, random_uniform, 0.001, 0.0001, 2, SGD, l1l2, 32, 99.4971
linear, 0.1, random_uniform, 0.01, 0.0001, 2, Adamgrad, l1, 128, 82.2403
relu, 0.3, random_normal, 0.0001, 0.001, 2, SGD, l1, 64, 99.0097
linear, 0.3, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 32, 23.3902
linear, 0.1, random_uniform, 0.001, 1e-05, 4, RMSprop, l2, 128, 16.3281
relu, 0.5, random_uniform, 0.01, 0.001, 1, RMSprop, l1l2, 32, 99.4987
relu, 0, random_uniform, 0.0001, 0.01, 1, SGD, l1l2, 64, 99.4975
relu, 0.7, random_normal, 0.0001, 0.001, 4, Adam, l1, 32, 99.4974
relu, 0.3, random_uniform, 0.01, 1e-05, 4, RMSprop, l2, 32, 88.3509
linear, 0, random_uniform, 0.01, 1e-05, 1, RMSprop, l1, 128, 49.3578
relu, 0.7, random_normal, 0.01, 1e-05, 4, Adamgrad, l1, 128, 99.4987
relu, 0.3, random_normal, 0.01, 0.001, 1, RMSprop, l1l2, 64, 99.5047
relu, 0.1, random_normal, 0.001, 1e-05, 1, RMSprop, l1l2, 64, 97.3208
relu, 0, random_normal, 0.0001, 0.01, 1, SGD, l2, 32, 99.0639
linear, 0.3, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 14.8755
linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.077
linear, 0.3, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.923
linear, 0.3, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 12.9385
linear, 0.1, random_normal, 0.001, 1e-05, 2, Adamgrad, l2, 128, 46.0293
linear, 0.7, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 25.2632
linear, 0.1, random_normal, 0.001, 0.0001, 4, RMSprop, l2, 128, 13.3464
linear, 0.3, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.2438
linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 12.7068
linear, 0.3, random_normal, 0.001, 1e-05, 2, Adam, l2, 128, 59.804
linear, 0.7, random_normal, 0.001, 1e-05, 4, Adamgrad, l2, 128, 98.403
linear, 0.1, random_normal, 0.001, 0.0001, 4, SGD, l2, 128, 18.3716
linear, 0.3, random_normal, 0.001, 0.01, 4, RMSprop, l2, 128, 99.4975
linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 12.7685
linear, 0.1, random_normal, 0.0001, 0.01, 4, Adam, l2, 128, 99.1513
linear, 0.1, random_normal, 0.001, 0.0001, 2, Adamgrad, l2, 128, 51.3073
linear, 0.1, random_normal, 0.001, 1e-05, 4, Adam, l1l2, 128, 98.963
linear, 0.5, random_normal, 0.0001, 0.001, 4, RMSprop, l2, 64, 92.8798
linear, 0.1, random_normal, 0.001, 0.0001, 2, SGD, l1, 32, 92.9576
linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.3289
linear, 0.5, random_uniform, 0.001, 0.01, 2, Adamgrad, l1l2, 64, 99.4975
linear, 0, random_normal, 0.0001, 1e-05, 4, RMSprop, l1, 128, 14.0405
linear, 0.1, random_uniform, 0.01, 0.001, 4, Adam, l2, 32, 99.4975
linear, 0.1, random_normal, 0.001, 0.0001, 1, SGD, l2, 128, 11.6154
linear, 0.5, random_uniform, 0.001, 0.0001, 1, SGD, l1l2, 64, 99.0277
relu, 0.7, random_normal, 0.01, 0.0001, 1, SGD, l1, 32, 46.2241
linear, 0, random_uniform, 0.0001, 0.0001, 1, SGD, l2, 128, 91.8962
relu, 0.1, random_normal, 0.001, 0.0001, 1, SGD, l1, 128, 12.9415
linear, 0.1, random_normal, 0.01, 0.0001, 1, SGD, l1l2, 64, 88.4802
linear, 0.5, random_uniform, 0.0001, 0.0001, 1, SGD, l2, 32, 99.5646
relu, 0, random_normal, 0.001, 0.001, 1, SGD, l2, 128, 13.8368
linear, 0.1, random_normal, 0.01, 0.01, 1, SGD, l1, 128, 99.4993
relu, 0.7, random_uniform, 0.001, 0.0001, 1, Adamgrad, l1l2, 64, 99.077
linear, 0.1, random_normal, 0.001, 0.001, 2, Adam, l2, 32, 99.3672
linear, 0.1, random_normal, 0.0001, 0.0001, 1, SGD, l2, 128, 35.2411
relu, 0, random_normal, 0.001, 0.01, 1, Adamgrad, l2, 128, 78.6615
linear, 0.5, random_uniform, 0.01, 0.0001, 2, SGD, l1, 128, 18.576
linear, 0.7, random_normal, 0.001, 0.001, 1, Adam, l1l2, 64, 94.2912
relu, 0.1, random_normal, 0.001, 0.0001, 1, SGD, l2, 32, 38.1386
linear, 0.1, random_normal, 0.001, 0.01, 2, RMSprop, l2, 128, 74.6399
linear, 0.1, random_uniform, 0.01, 1e-05, 1, Adamgrad, l2, 128, 13.5103
