activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
linear, 0.3, random_normal, 0.0001, 0.0001, 1, Adamgrad, l1l2, 32, 98.359
linear, 0.3, random_uniform, 0.001, 0.001, 1, Adamgrad, l2, 128, 90.1549
relu, 0.5, random_normal, 0.001, 0.01, 1, Adam, l1, 128, 99.0569
relu, 0.7, random_uniform, 0.001, 0.001, 2, RMSprop, l1l2, 128, 99.5016
relu, 0.1, random_uniform, 0.001, 0.01, 4, Adamgrad, l2, 64, 99.5004
relu, 0, random_uniform, 0.0001, 1e-05, 4, SGD, l2, 32, 99.5004
linear, 0.7, random_uniform, 0.0001, 0.001, 1, Adamgrad, l1, 32, 99.1921
linear, 0.7, random_normal, 0.01, 1e-05, 2, Adam, l1l2, 64, 99.1017
linear, 0.1, random_uniform, 0.001, 1e-05, 4, RMSprop, l2, 64, 22.3814
linear, 0.5, random_uniform, 0.0001, 0.0001, 2, Adam, l1l2, 128, 99.4692
linear, 0.3, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.5158
linear, 0.1, random_normal, 0.01, 0.001, 4, SGD, l1l2, 128, 99.5022
relu, 0.7, random_uniform, 0.001, 0.0001, 2, SGD, l1, 32, 99.5004
linear, 0.3, random_normal, 0.001, 0.01, 4, RMSprop, l2, 64, 99.5004
linear, 0.1, random_uniform, 0.001, 0.0001, 2, SGD, l2, 128, 80.9484
relu, 0.1, random_normal, 0.0001, 1e-05, 4, Adam, l1, 64, 99.5054
relu, 0, random_uniform, 0.0001, 0.001, 2, RMSprop, l2, 128, 23.1729
relu, 0, random_uniform, 0.001, 0.01, 4, Adam, l2, 128, 99.5016
linear, 0.5, random_uniform, 0.0001, 1e-05, 4, Adam, l2, 32, 99.5004
relu, 0.3, random_uniform, 0.001, 0.01, 4, SGD, l1l2, 32, 99.5004
linear, 0.3, random_normal, 0.01, 1e-05, 4, RMSprop, l2, 64, 25.4961
linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 64, 18.3965
linear, 0.3, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 64, 18.5916
linear, 0.1, random_normal, 0.01, 1e-05, 4, RMSprop, l2, 64, 25.0348
linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 64, 17.3795
linear, 0.3, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.2563
