tentativa,activation, dropout, init, lr, lr_reg, n_layers, opt, reg, units1, loss
0,linear, 0.1, random_normal, 0.0001, 0.01, 4, RMSprop, l1l2, 64, 99.4975
1,relu, 0.5, random_normal, 0.01, 1e-05, 4, Adamgrad, l1, 64, 99.4975
2,relu, 0, random_uniform, 0.01, 0.0001, 4, Adam, l1, 128, 99.4975
3,linear, 0.5, random_uniform, 0.01, 0.01, 1, RMSprop, l2, 64, 82.2769
4,linear, 0.5, random_uniform, 0.0001, 0.01, 1, Adam, l1l2, 64, 99.3104
5,relu, 0.5, random_uniform, 0.001, 0.001, 4, Adam, l1, 64, 99.4975
6,linear, 0.1, random_uniform, 0.001, 0.0001, 2, SGD, l1l2, 32, 99.4971
7,linear, 0.1, random_uniform, 0.01, 0.0001, 2, Adamgrad, l1, 128, 82.2403
8,relu, 0.3, random_normal, 0.0001, 0.001, 2, SGD, l1, 64, 99.0097
9,linear, 0.3, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 32, 23.3902
10,linear, 0.1, random_uniform, 0.001, 1e-05, 4, RMSprop, l2, 128, 16.3281
11,relu, 0.5, random_uniform, 0.01, 0.001, 1, RMSprop, l1l2, 32, 99.4987
12,relu, 0, random_uniform, 0.0001, 0.01, 1, SGD, l1l2, 64, 99.4975
13,relu, 0.7, random_normal, 0.0001, 0.001, 4, Adam, l1, 32, 99.4974
14,relu, 0.3, random_uniform, 0.01, 1e-05, 4, RMSprop, l2, 32, 88.3509
15,linear, 0, random_uniform, 0.01, 1e-05, 1, RMSprop, l1, 128, 49.3578
16,relu, 0.7, random_normal, 0.01, 1e-05, 4, Adamgrad, l1, 128, 99.4987
17,relu, 0.3, random_normal, 0.01, 0.001, 1, RMSprop, l1l2, 64, 99.5047
18,relu, 0.1, random_normal, 0.001, 1e-05, 1, RMSprop, l1l2, 64, 97.3208
19,relu, 0, random_normal, 0.0001, 0.01, 1, SGD, l2, 32, 99.0639
20,linear, 0.3, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 14.8755
21,linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.077
22,linear, 0.3, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.923
23,linear, 0.3, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 12.9385
24,linear, 0.1, random_normal, 0.001, 1e-05, 2, Adamgrad, l2, 128, 46.0293
25,linear, 0.7, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 25.2632
26,linear, 0.1, random_normal, 0.001, 0.0001, 4, RMSprop, l2, 128, 13.3464
27,linear, 0.3, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.2438
28,linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 12.7068
29,linear, 0.3, random_normal, 0.001, 1e-05, 2, Adam, l2, 128, 59.804
30,linear, 0.7, random_normal, 0.001, 1e-05, 4, Adamgrad, l2, 128, 98.403
31,linear, 0.1, random_normal, 0.001, 0.0001, 4, SGD, l2, 128, 18.3716
32,linear, 0.3, random_normal, 0.001, 0.01, 4, RMSprop, l2, 128, 99.4975
33,linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 12.7685
34,linear, 0.1, random_normal, 0.0001, 0.01, 4, Adam, l2, 128, 99.1513
35,linear, 0.1, random_normal, 0.001, 0.0001, 2, Adamgrad, l2, 128, 51.3073
36,linear, 0.1, random_normal, 0.001, 1e-05, 4, Adam, l1l2, 128, 98.963
37,linear, 0.5, random_normal, 0.0001, 0.001, 4, RMSprop, l2, 64, 92.8798
38,linear, 0.1, random_normal, 0.001, 0.0001, 2, SGD, l1, 32, 92.9576
39,linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.3289
40,linear, 0.5, random_uniform, 0.001, 0.01, 2, Adamgrad, l1l2, 64, 99.4975
41,linear, 0, random_normal, 0.0001, 1e-05, 4, RMSprop, l1, 128, 14.0405
42,linear, 0.1, random_uniform, 0.01, 0.001, 4, Adam, l2, 32, 99.4975
43,linear, 0.1, random_normal, 0.001, 0.0001, 1, SGD, l2, 128, 11.6154
44,linear, 0.5, random_uniform, 0.001, 0.0001, 1, SGD, l1l2, 64, 99.0277
45,relu, 0.7, random_normal, 0.01, 0.0001, 1, SGD, l1, 32, 46.2241
46,linear, 0, random_uniform, 0.0001, 0.0001, 1, SGD, l2, 128, 91.8962
47,relu, 0.1, random_normal, 0.001, 0.0001, 1, SGD, l1, 128, 12.9415
48,linear, 0.1, random_normal, 0.01, 0.0001, 1, SGD, l1l2, 64, 88.4802
49,linear, 0.5, random_uniform, 0.0001, 0.0001, 1, SGD, l2, 32, 99.5646
50,relu, 0, random_normal, 0.001, 0.001, 1, SGD, l2, 128, 13.8368
51,linear, 0.1, random_normal, 0.01, 0.01, 1, SGD, l1, 128, 99.4993
52,relu, 0.7, random_uniform, 0.001, 0.0001, 1, Adamgrad, l1l2, 64, 99.077
53,linear, 0.1, random_normal, 0.001, 0.001, 2, Adam, l2, 32, 99.3672
54,linear, 0.1, random_normal, 0.0001, 0.0001, 1, SGD, l2, 128, 35.2411
55,relu, 0, random_normal, 0.001, 0.01, 1, Adamgrad, l2, 128, 78.6615
56,linear, 0.5, random_uniform, 0.01, 0.0001, 2, SGD, l1, 128, 18.576
57,linear, 0.7, random_normal, 0.001, 0.001, 1, Adam, l1l2, 64, 94.2912
58,relu, 0.1, random_normal, 0.001, 0.0001, 1, SGD, l2, 32, 38.1386
59,linear, 0.1, random_normal, 0.001, 0.01, 2, RMSprop, l2, 128, 74.6399
60,linear, 0.1, random_uniform, 0.01, 1e-05, 1, Adamgrad, l2, 128, 13.5103
61,linear, 0, random_normal, 0.0001, 0.0001, 4, RMSprop, l2, 128, 14.3382
62,relu, 0.7, random_normal, 0.001, 1e-05, 1, Adam, l1, 64, 98.0257
63,linear, 0.1, random_normal, 0.001, 0.001, 2, SGD, l1l2, 128, 99.4975
64,linear, 0.5, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 32, 74.0341
65,linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.4552
66,linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.2369
67,linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.0204
68,linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 12.242
69,linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.0917
70,linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.1314
71,linear, 0.3, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.3058
72,linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.3627
73,linear, 0.1, random_normal, 0.001, 1e-05, 4, RMSprop, l2, 128, 13.3083
74,linear, 0.1, random_normal, 0.001, 0.01, 4, RMSprop, l2, 128, 99.4975
75,linear, 0.3, random_normal, 0.001, 1e-05, 4, Adamgrad, l2, 128, 99.3221
76,linear, 0.1, random_normal, 0.0001, 0.0001, 4, Adam, l2, 128, 98.9259
77,linear, 0.7, random_normal, 0.01, 1e-05, 4, RMSprop, l2, 128, 93.7778
78,linear, 0, random_uniform, 0.001, 0.0001, 1, SGD, l1l2, 64, 98.937
79,relu, 0.1, random_normal, 0.001, 0.001, 2, RMSprop, l1, 128, 99.4993
