activation,init,lr,lr_reg,opt,reg,units1,loss
linear, random_normal, 0.0001, 0.001, Adamgrad, l1, 64, 91.1063
relu, random_normal, 0.01, 1e-05, RMSprop, l2, 32, 31.989
relu, random_uniform, 0.01, 1e-05, Adam, l2, 32, 91.1063
relu, random_normal, 0.01, 0.001, RMSprop, l2, 32, 38.8979
linear, random_normal, 0.001, 0.01, SGD, l2, 32, 78.2416
relu, random_uniform, 0.0001, 1e-05, Adamgrad, l2, 32, 91.1063
relu, random_normal, 0.01, 0.001, RMSprop, l2, 32, 41.3918
linear, random_normal, 0.01, 1e-05, SGD, l2, 32, 39.7382
relu, random_normal, 0.01, 0.01, RMSprop, l2, 32, 49.1658
relu, random_uniform, 0.01, 1e-05, Adam, l2, 32, 91.1063
relu, random_normal, 0.001, 0.001, RMSprop, l1l2, 64, 59.1067
relu, random_normal, 0.0001, 1e-05, SGD, l2, 32, 91.1063
relu, random_normal, 0.01, 1e-05, RMSprop, l1, 128, 33.4874
relu, random_normal, 0.01, 1e-05, RMSprop, l1, 128, 36.3149
relu, random_normal, 0.01, 1e-05, RMSprop, l1, 128, 32.9617
relu, random_normal, 0.01, 1e-05, RMSprop, l1l2, 128, 51.365
relu, random_normal, 0.01, 1e-05, RMSprop, l1, 32, 33.523
relu, random_normal, 0.01, 1e-05, RMSprop, l2, 128, 33.3171
relu, random_normal, 0.01, 1e-05, RMSprop, l1, 32, 31.9569
relu, random_normal, 0.01, 1e-05, RMSprop, l1, 32, 32.5029
relu, random_normal, 0.01, 1e-05, RMSprop, l2, 32, 32.4773
relu, random_normal, 0.01, 1e-05, RMSprop, l1, 32, 32.8118
relu, random_normal, 0.01, 0.01, Adamgrad, l1l2, 32, 91.1063
relu, random_normal, 0.01, 1e-05, RMSprop, l1, 32, 32.4003
relu, random_normal, 0.01, 0.001, RMSprop, l2, 32, 42.7951
linear, random_normal, 0.01, 1e-05, SGD, l1, 32, 39.2757
relu, random_uniform, 0.001, 1e-05, Adam, l1, 32, 91.1063
