tentativa,activation, dropout, init, lr, lr_reg, n_layers, opt, reg, units1, loss
68,relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l2, 128, 35.1106
69,relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l2, 128, 35.6242
70,relu, 0, random_normal, 0.001, 1e-05, 1, RMSprop, l2, 128, 35.242
71,relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l2, 128, 37.1338
72,relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l1, 128, 37.4369
73,relu, 0.5, random_normal, 0.001, 1e-05, 1, RMSprop, l2, 32, 53.2765
74,relu, 0.7, random_normal, 0.0001, 0.01, 1, Adamgrad, l1l2, 128, 91.1044
75,relu, 0.3, random_normal, 0.001, 1e-05, 1, Adam, l2, 128, 91.1044
76,relu, 0, random_normal, 0.001, 0.001, 1, RMSprop, l1, 128, 58.642
77,relu, 0.3, random_normal, 0.001, 1e-05, 1, RMSprop, l2, 32, 38.2742
78,relu, 0.3, random_normal, 0.0001, 1e-05, 1, RMSprop, l2, 128, 38.7929
79,relu, 0.3, random_normal, 0.001, 1e-05, 1, Adamgrad, l1l2, 128, 91.1044
