activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
relu, 0.5, random_normal, 0.001, 0.01, 1, Adamgrad, l1l2, 32, 91.1044
linear, 0.3, random_uniform, 0.001, 0.0001, 4, RMSprop, l1, 64, 74.2177
relu, 0.5, random_uniform, 0.001, 0.001, 4, Adamgrad, l1, 64, 91.1044
relu, 0, random_uniform, 0.0001, 0.001, 1, RMSprop, l2, 32, 65.0614
linear, 0.1, random_normal, 0.01, 0.001, 2, SGD, l2, 64, 41.6526
relu, 0.1, random_uniform, 0.01, 0.01, 4, Adam, l1, 128, 91.1044
linear, 0.1, random_uniform, 0.001, 0.0001, 4, Adam, l1l2, 128, 91.1044
relu, 0.7, random_uniform, 0.001, 0.0001, 2, Adamgrad, l2, 128, 91.1044
linear, 0, random_normal, 0.001, 0.001, 1, Adam, l1l2, 128, 91.1044
linear, 0.3, random_uniform, 0.001, 0.001, 2, Adam, l1, 32, 91.1044
linear, 0.3, random_normal, 0.0001, 0.01, 2, Adamgrad, l2, 128, 91.1044
relu, 0, random_normal, 0.01, 0.01, 2, Adam, l1l2, 64, 91.1044
linear, 0.3, random_normal, 0.0001, 0.0001, 4, Adam, l1, 128, 91.1044
relu, 0.7, random_normal, 0.001, 0.0001, 4, RMSprop, l2, 128, 76.3507
relu, 0.5, random_normal, 0.0001, 0.01, 1, SGD, l2, 64, 91.1044
linear, 0.5, random_uniform, 0.01, 0.001, 1, SGD, l1l2, 32, 91.1044
relu, 0.3, random_normal, 0.001, 0.001, 1, Adam, l2, 64, 91.1044
linear, 0.5, random_normal, 0.001, 0.001, 1, SGD, l1, 128, 60.3543
relu, 0.1, random_normal, 0.0001, 1e-05, 1, Adamgrad, l2, 64, 91.1044
linear, 0.5, random_normal, 0.001, 0.0001, 1, RMSprop, l1l2, 32, 60.0569
linear, 0.1, random_normal, 0.01, 1e-05, 2, SGD, l1l2, 32, 91.1044
linear, 0.1, random_normal, 0.01, 1e-05, 2, RMSprop, l1l2, 32, 82.2109
linear, 0.5, random_normal, 0.01, 0.0001, 2, SGD, l2, 64, 40.243
linear, 0.1, random_normal, 0.01, 0.0001, 2, SGD, l2, 64, 39.4542
linear, 0.7, random_normal, 0.01, 0.0001, 2, SGD, l2, 64, 55.0301
linear, 0.5, random_normal, 0.01, 0.0001, 2, SGD, l2, 64, 42.8108
linear, 0.1, random_normal, 0.01, 0.0001, 2, SGD, l2, 64, 38.5133
linear, 0.1, random_normal, 0.01, 0.0001, 2, SGD, l2, 64, 41.4339
linear, 0.1, random_normal, 0.01, 0.0001, 2, SGD, l2, 64, 39.45
linear, 0.1, random_normal, 0.01, 0.0001, 2, SGD, l2, 64, 38.7353
linear, 0.1, random_normal, 0.01, 1e-05, 2, SGD, l2, 64, 39.5671
linear, 0.1, random_normal, 0.01, 0.0001, 2, SGD, l2, 64, 40.4773
linear, 0, random_normal, 0.01, 0.0001, 2, Adamgrad, l2, 64, 91.0091
linear, 0.1, random_uniform, 0.01, 0.0001, 2, SGD, l1, 64, 58.2058
linear, 0.7, random_normal, 0.01, 0.01, 4, RMSprop, l2, 64, 91.1044
linear, 0.1, random_uniform, 0.0001, 1e-05, 2, SGD, l2, 64, 91.1044
linear, 0.1, random_normal, 0.01, 0.0001, 4, SGD, l1, 64, 75.9644
relu, 0, random_uniform, 0.01, 0.0001, 2, Adamgrad, l2, 64, 91.1044
linear, 0.1, random_normal, 0.01, 0.0001, 2, RMSprop, l2, 32, 47.0756
linear, 0.7, random_uniform, 0.0001, 0.01, 4, SGD, l1, 64, 91.1044
linear, 0.3, random_normal, 0.01, 0.0001, 2, Adamgrad, l2, 64, 91.0299
relu, 0.1, random_normal, 0.01, 1e-05, 2, SGD, l2, 128, 35.3379
