activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
linear, 0, random_normal, 0.0001, 0.001, 4, RMSprop, l1, 64, 91.1091
relu, 0.7, random_normal, 0.0001, 0.01, 4, RMSprop, l1, 128, 91.1091
linear, 0, random_normal, 0.001, 1e-05, 1, SGD, l1l2, 128, 60.445
linear, 0.7, random_normal, 0.001, 0.001, 2, Adamgrad, l1, 32, 91.1091
relu, 0.5, random_normal, 0.0001, 1e-05, 4, Adam, l1l2, 32, 91.1091
relu, 0.7, random_uniform, 0.001, 0.001, 2, Adamgrad, l2, 32, 91.1091
relu, 0.1, random_normal, 0.0001, 0.0001, 1, Adamgrad, l1l2, 32, 91.1091
relu, 0.3, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 128, 44.4006
relu, 0.1, random_uniform, 0.001, 0.0001, 2, Adamgrad, l2, 64, 91.1091
relu, 0, random_normal, 0.0001, 0.0001, 1, Adamgrad, l1, 64, 91.1091
relu, 0.1, random_uniform, 0.0001, 0.001, 1, Adam, l1, 64, 91.1091
relu, 0.5, random_normal, 0.01, 1e-05, 2, RMSprop, l2, 64, 59.9185
relu, 0.3, random_uniform, 0.0001, 0.001, 4, SGD, l2, 128, 91.1091
relu, 0.7, random_uniform, 0.01, 0.0001, 4, Adam, l2, 128, 91.1091
linear, 0.3, random_normal, 0.01, 1e-05, 1, Adamgrad, l1, 32, 91.1091
relu, 0.7, random_normal, 0.001, 0.001, 4, SGD, l2, 32, 91.1091
relu, 0.7, random_normal, 0.001, 1e-05, 1, Adam, l1, 128, 91.1091
linear, 0.3, random_normal, 0.01, 0.0001, 4, SGD, l1l2, 64, 91.1091
linear, 0.7, random_uniform, 0.0001, 1e-05, 2, Adam, l2, 32, 91.1091
linear, 0, random_normal, 0.01, 0.01, 2, Adam, l2, 64, 91.1091
relu, 0.5, random_normal, 0.01, 1e-05, 2, RMSprop, l2, 128, 63.4849
relu, 0.5, random_normal, 0.01, 1e-05, 2, RMSprop, l1, 64, 60.3845
relu, 0.5, random_normal, 0.01, 1e-05, 2, RMSprop, l2, 128, 62.1394
relu, 0.3, random_normal, 0.01, 1e-05, 2, RMSprop, l1, 64, 47.3615
relu, 0.3, random_normal, 0.0001, 0.01, 2, RMSprop, l1, 128, 91.1091
relu, 0.3, random_normal, 0.01, 1e-05, 2, RMSprop, l1, 128, 49.5081
relu, 0.3, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 64, 57.325
relu, 0.3, random_normal, 0.01, 1e-05, 2, RMSprop, l1, 64, 51.2942
relu, 0.3, random_normal, 0.0001, 0.01, 2, RMSprop, l1, 128, 91.1091
relu, 0.3, random_uniform, 0.01, 1e-05, 2, RMSprop, l1, 64, 43.9231
linear, 0.3, random_uniform, 0.0001, 0.01, 2, RMSprop, l1, 128, 91.1091
relu, 0.3, random_uniform, 0.0001, 1e-05, 2, RMSprop, l1l2, 128, 79.1284
linear, 0, random_uniform, 0.01, 1e-05, 2, RMSprop, l1, 64, 44.693
relu, 0.3, random_uniform, 0.0001, 1e-05, 4, SGD, l1, 128, 91.1091
relu, 0.1, random_uniform, 0.001, 0.01, 2, RMSprop, l1l2, 64, 91.1091
relu, 0.3, random_uniform, 0.0001, 0.001, 1, RMSprop, l1, 128, 91.1091
linear, 0, random_uniform, 0.001, 1e-05, 2, SGD, l1, 32, 91.1091
