activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
relu, 0.1, random_uniform, 0.01, 0.0001, 2, Adamgrad, l1l2, 64, 91.1091
relu, 0.3, random_uniform, 0.0001, 1e-05, 1, RMSprop, l1, 128, 50.817
relu, 0, random_uniform, 0.001, 0.001, 4, RMSprop, l1, 64, 91.1091
relu, 0.1, random_uniform, 0.0001, 0.0001, 2, Adamgrad, l1l2, 32, 91.1091
linear, 0.3, random_uniform, 0.01, 1e-05, 1, Adam, l1, 64, 91.1091
relu, 0.5, random_uniform, 0.0001, 1e-05, 2, RMSprop, l1, 128, 56.4861
relu, 0.3, random_normal, 0.001, 0.001, 4, SGD, l1, 32, 91.1091
relu, 0.7, random_uniform, 0.01, 0.01, 2, Adamgrad, l1l2, 64, 91.1091
relu, 0.1, random_normal, 0.0001, 0.0001, 1, RMSprop, l1, 128, 52.6925
linear, 0.3, random_normal, 0.01, 1e-05, 4, Adam, l1, 64, 91.1091
relu, 0, random_uniform, 0.001, 0.001, 2, Adamgrad, l1l2, 32, 91.1091
relu, 0.7, random_normal, 0.0001, 1e-05, 2, SGD, l1, 128, 91.1091
linear, 0.3, random_uniform, 0.01, 0.0001, 1, RMSprop, l2, 64, 45.8811
relu, 0.5, random_normal, 0.0001, 1e-05, 4, Adam, l1, 128, 91.1091
relu, 0.3, random_normal, 0.01, 1e-05, 2, RMSprop, l2, 32, 48.8631
relu, 0.7, random_uniform, 0.001, 0.01, 2, Adamgrad, l1, 64, 91.1091
linear, 0.1, random_normal, 0.01, 0.001, 1, SGD, l1l2, 128, 78.422
relu, 0.5, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 64, 57.2544
relu, 0.3, random_uniform, 0.01, 0.0001, 4, Adam, l2, 32, 91.1091
relu, 0, random_normal, 0.0001, 1e-05, 2, RMSprop, l1, 128, 48.9393
linear, 0.3, random_normal, 0.01, 1e-05, 2, RMSprop, l1, 64, 50.445
relu, 0.7, random_uniform, 0.001, 0.01, 2, RMSprop, l2, 128, 81.757
relu, 0.3, random_normal, 0.0001, 1e-05, 1, SGD, l1, 64, 91.1091
relu, 0.5, random_uniform, 0.01, 0.001, 2, Adamgrad, l1l2, 128, 91.1091
linear, 0.3, random_normal, 0.0001, 1e-05, 4, Adam, l1, 64, 91.1091
relu, 0.1, random_uniform, 0.01, 0.0001, 2, RMSprop, l1, 32, 41.5557
relu, 0.1, random_uniform, 0.01, 0.0001, 2, RMSprop, l1, 32, 40.251
relu, 0.1, random_uniform, 0.01, 0.0001, 2, RMSprop, l2, 32, 37.9583
relu, 0.1, random_uniform, 0.01, 0.0001, 2, RMSprop, l2, 32, 38.8734
relu, 0.1, random_uniform, 0.01, 0.0001, 2, RMSprop, l2, 32, 41.3441
relu, 0.1, random_uniform, 0.01, 0.0001, 2, RMSprop, l2, 32, 40.277
relu, 0.1, random_uniform, 0.01, 0.0001, 2, RMSprop, l2, 32, 39.3289
relu, 0.1, random_uniform, 0.01, 0.0001, 2, RMSprop, l2, 32, 41.295
relu, 0.1, random_uniform, 0.01, 0.0001, 2, RMSprop, l2, 32, 39.1188
relu, 0.1, random_uniform, 0.01, 0.0001, 2, RMSprop, l2, 32, 41.7334
relu, 0.1, random_uniform, 0.01, 0.0001, 2, RMSprop, l2, 32, 39.3857
relu, 0.1, random_uniform, 0.01, 0.0001, 2, RMSprop, l2, 32, 38.8684
relu, 0.1, random_uniform, 0.01, 0.0001, 2, RMSprop, l2, 32, 37.7003
relu, 0.1, random_uniform, 0.01, 0.0001, 2, SGD, l2, 32, 91.1091
relu, 0.1, random_uniform, 0.01, 0.0001, 1, RMSprop, l2, 32, 38.6854
relu, 0.1, random_uniform, 0.01, 0.0001, 1, Adam, l2, 32, 91.1091
linear, 0.1, random_uniform, 0.01, 0.0001, 1, Adamgrad, l2, 32, 91.1091
relu, 0.1, random_uniform, 0.01, 0.0001, 1, RMSprop, l2, 32, 38.0272
