activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
linear, 0.1, random_uniform, 0.01, 1e-05, 4, Adamgrad, l2, 64, 91.1091
relu, 0.3, random_normal, 0.0001, 0.0001, 4, RMSprop, l1l2, 32, 91.1091
relu, 0.1, random_uniform, 0.0001, 0.001, 2, SGD, l1, 128, 91.1091
linear, 0.1, random_uniform, 0.0001, 0.001, 1, RMSprop, l2, 128, 40.5078
linear, 0.3, random_uniform, 0.001, 0.0001, 2, Adam, l1, 128, 91.1091
linear, 0.5, random_normal, 0.01, 1e-05, 4, SGD, l2, 32, 91.1091
relu, 0.3, random_uniform, 0.0001, 0.001, 1, Adamgrad, l1l2, 64, 91.1091
linear, 0.5, random_normal, 0.001, 1e-05, 4, RMSprop, l1l2, 128, 79.2573
relu, 0.3, random_normal, 0.0001, 0.01, 2, RMSprop, l1l2, 128, 91.1091
linear, 0.3, random_uniform, 0.01, 0.01, 1, Adamgrad, l1l2, 128, 91.1091
linear, 0, random_uniform, 0.01, 0.001, 4, SGD, l1, 32, 91.1091
linear, 0, random_normal, 0.0001, 0.01, 1, RMSprop, l2, 64, 59.976
linear, 0.5, random_normal, 0.01, 0.0001, 1, Adam, l1, 128, 58.0065
relu, 0.1, random_uniform, 0.0001, 0.01, 1, Adam, l2, 64, 91.1091
linear, 0.5, random_uniform, 0.01, 0.001, 2, RMSprop, l1, 128, 82.1447
relu, 0.5, random_normal, 0.0001, 0.0001, 2, Adamgrad, l1l2, 32, 91.1091
linear, 0.5, random_normal, 0.0001, 0.0001, 2, RMSprop, l2, 64, 48.4746
linear, 0.3, random_uniform, 0.01, 0.0001, 1, RMSprop, l2, 32, 44.6795
relu, 0.5, random_normal, 0.0001, 0.01, 1, Adamgrad, l2, 64, 91.1091
linear, 0.1, random_uniform, 0.0001, 0.0001, 1, Adamgrad, l2, 128, 91.1091
linear, 0.7, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 32, 58.5233
linear, 0.7, random_uniform, 0.01, 0.001, 1, RMSprop, l2, 32, 59.6814
linear, 0.1, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 32, 38.847
linear, 0.1, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 32, 38.6515
linear, 0.1, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 32, 39.0035
linear, 0.1, random_uniform, 0.001, 0.001, 1, SGD, l2, 32, 91.1091
linear, 0.1, random_uniform, 0.001, 0.001, 1, Adam, l2, 32, 91.1091
linear, 0.1, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 32, 39.3396
linear, 0, random_uniform, 0.001, 1e-05, 4, RMSprop, l2, 32, 72.7123
linear, 0.7, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 32, 56.8089
linear, 0.1, random_uniform, 0.001, 1e-05, 4, RMSprop, l2, 32, 77.1938
relu, 0.1, random_uniform, 0.001, 0.001, 1, SGD, l1, 32, 91.1091
linear, 0.1, random_uniform, 0.001, 0.001, 1, Adam, l2, 32, 91.1091
linear, 0.1, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 32, 41.2376
relu, 0.1, random_uniform, 0.001, 1e-05, 2, SGD, l1, 32, 91.1091
linear, 0, random_uniform, 0.001, 0.001, 4, RMSprop, l2, 64, 76.0277
linear, 0.7, random_uniform, 0.001, 0.001, 1, RMSprop, l1l2, 32, 91.1091
relu, 0.1, random_uniform, 0.001, 1e-05, 4, Adam, l1l2, 32, 91.1091
linear, 0.1, random_normal, 0.001, 0.001, 2, Adamgrad, l2, 32, 91.1091
linear, 0.3, random_uniform, 0.001, 0.01, 1, SGD, l1, 64, 91.1091
linear, 0, random_uniform, 0.001, 0.001, 1, RMSprop, l1l2, 32, 78.0495
relu, 0.1, random_normal, 0.001, 0.001, 4, RMSprop, l2, 128, 43.7287
linear, 0.7, random_uniform, 0.01, 1e-05, 1, RMSprop, l1, 32, 46.2242
linear, 0.3, random_uniform, 0.001, 0.01, 2, Adam, l2, 128, 91.1091
relu, 0.1, random_normal, 0.01, 0.0001, 1, Adamgrad, l1l2, 64, 91.1091
linear, 0, random_uniform, 0.001, 0.001, 1, SGD, l2, 32, 91.1091
linear, 0.1, random_uniform, 0.0001, 0.01, 2, RMSprop, l1, 128, 91.1091
linear, 0.3, random_normal, 0.001, 0.001, 4, RMSprop, l2, 64, 60.1297
relu, 0.5, random_uniform, 0.01, 0.0001, 1, Adamgrad, l1l2, 32, 91.1091
linear, 0.1, random_normal, 0.0001, 0.001, 1, Adam, l2, 32, 91.1091
linear, 0.7, random_uniform, 0.001, 1e-05, 2, RMSprop, l2, 128, 40.6665
linear, 0.5, random_uniform, 0.01, 0.01, 1, RMSprop, l1, 64, 91.1091
relu, 0.1, random_uniform, 0.0001, 0.0001, 4, SGD, l2, 32, 91.1091
linear, 0, random_normal, 0.001, 0.001, 1, Adamgrad, l1l2, 32, 91.1091
linear, 0.3, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 128, 39.5469
linear, 0.1, random_uniform, 0.0001, 0.001, 2, Adam, l2, 32, 91.1091
relu, 0.5, random_normal, 0.01, 0.0001, 1, RMSprop, l2, 64, 51.1108
linear, 0.1, random_uniform, 0.001, 0.01, 1, RMSprop, l1, 32, 91.1091
linear, 0.7, random_uniform, 0.001, 0.001, 4, Adamgrad, l2, 32, 91.1091
linear, 0.1, random_uniform, 0.0001, 1e-05, 1, SGD, l1l2, 128, 91.1091
linear, 0.3, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 32, 38.3815
relu, 0.3, random_normal, 0.01, 0.001, 2, RMSprop, l2, 32, 60.7401
linear, 0.3, random_uniform, 0.001, 0.0001, 1, Adam, l2, 64, 91.1091
linear, 0.3, random_uniform, 0.001, 0.001, 1, RMSprop, l1, 32, 65.0888
linear, 0.3, random_uniform, 0.0001, 0.01, 4, RMSprop, l2, 32, 89.4094
linear, 0.3, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 32, 38.5399
linear, 0.3, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 32, 39.3776
linear, 0.3, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 32, 38.3463
linear, 0.3, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 32, 37.3124
linear, 0.3, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 32, 39.6421
linear, 0.3, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 32, 38.9309
linear, 0.3, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 32, 40.56
linear, 0.3, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 32, 38.7666
linear, 0.3, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 32, 38.2639
linear, 0.3, random_uniform, 0.001, 1e-05, 1, SGD, l2, 32, 91.1091
linear, 0.3, random_uniform, 0.001, 0.001, 1, Adamgrad, l1l2, 32, 91.1091
linear, 0.3, random_uniform, 0.001, 0.001, 1, RMSprop, l2, 128, 41.5483
relu, 0.3, random_uniform, 0.001, 0.001, 2, RMSprop, l2, 32, 57.0709
linear, 0.3, random_uniform, 0.01, 0.0001, 1, Adam, l2, 64, 91.1091
linear, 0.3, random_normal, 0.001, 0.001, 1, RMSprop, l2, 32, 38.4051
