activation,dropout,init,lr,lr_reg,n_layers,opt,reg,units1,loss
linear, 0, random_uniform, 0.01, 0.001, 4, Adamgrad, l1, 32, 91.1063
relu, 0.1, random_uniform, 0.0001, 0.0001, 1, RMSprop, l1l2, 32, 91.1063
relu, 0.7, random_normal, 0.0001, 0.01, 2, Adamgrad, l1, 128, 91.1063
relu, 0.1, random_normal, 0.01, 0.01, 4, Adamgrad, l1l2, 32, 91.1063
linear, 0.1, random_normal, 0.001, 0.01, 2, RMSprop, l1l2, 64, 91.1063
relu, 0.7, random_normal, 0.01, 0.001, 4, Adam, l2, 64, 91.1063
linear, 0.5, random_normal, 0.01, 0.0001, 2, Adam, l1l2, 128, 80.0517
linear, 0.7, random_uniform, 0.01, 1e-05, 2, Adamgrad, l1, 128, 91.1063
linear, 0.1, random_normal, 0.0001, 1e-05, 2, SGD, l1l2, 64, 91.1063
linear, 0, random_uniform, 0.001, 0.0001, 2, Adam, l1, 64, 91.1063
linear, 0.7, random_normal, 0.001, 1e-05, 4, Adam, l1l2, 32, 91.1063
linear, 0.3, random_normal, 0.001, 0.01, 1, Adamgrad, l2, 128, 91.1063
linear, 0.5, random_uniform, 0.0001, 0.001, 4, Adamgrad, l1, 128, 91.1063
linear, 0.1, random_uniform, 0.001, 0.0001, 2, SGD, l2, 32, 91.1063
linear, 0.1, random_normal, 0.001, 0.01, 1, SGD, l1l2, 64, 91.1063
linear, 0.1, random_uniform, 0.0001, 0.0001, 4, Adam, l1, 64, 91.1063
relu, 0.5, random_normal, 0.01, 0.001, 1, Adam, l1, 64, 91.1063
linear, 0.1, random_uniform, 0.0001, 0.01, 1, Adam, l2, 32, 91.1063
linear, 0.1, random_uniform, 0.01, 0.001, 4, Adam, l1, 32, 91.1063
relu, 0.5, random_uniform, 0.0001, 0.01, 1, Adamgrad, l1, 64, 91.1063
linear, 0, random_uniform, 0.01, 0.0001, 4, RMSprop, l1l2, 128, 91.1063
linear, 0, random_normal, 0.01, 0.001, 2, Adamgrad, l1l2, 128, 91.1063
linear, 0.5, random_normal, 0.01, 0.001, 4, Adamgrad, l1, 128, 91.1063
linear, 0, random_uniform, 0.01, 0.0001, 2, SGD, l1l2, 32, 91.1063
linear, 0.3, random_uniform, 0.01, 0.001, 4, Adam, l2, 32, 91.1063
linear, 0, random_normal, 0.01, 0.0001, 2, RMSprop, l1, 128, 84.2754
linear, 0.5, random_normal, 0.01, 0.0001, 2, RMSprop, l1l2, 128, 89.2265
linear, 0, random_normal, 0.01, 0.0001, 2, RMSprop, l1, 128, 78.0685
linear, 0.5, random_normal, 0.01, 0.0001, 2, RMSprop, l1l2, 128, 85.2606
relu, 0.3, random_normal, 0.01, 0.0001, 2, RMSprop, l1, 128, 45.1529
relu, 0.3, random_normal, 0.01, 0.0001, 2, RMSprop, l1, 128, 47.2321
